GCF_008271365.1	GCF_008271365.1_ASM827136v1_genomic.fna
GCF_006494415.1	GCF_006494415.1_ASM649441v1_genomic.fna
GCF_005490785.1	GCF_005490785.1_ASM549078v1_genomic.fna
GCF_004745485.1	GCF_004745485.1_ASM474548v1_genomic.fna
GCF_004745075.1	GCF_004745075.1_ASM474507v1_genomic.fna
GCF_004340945.1	GCF_004340945.1_ASM434094v1_genomic.fna
GCF_003711805.1	GCF_003711805.1_ASM371180v1_genomic.fna
GCF_003347015.1	GCF_003347015.1_ASM334701v1_genomic.fna
GCF_003236715.1	GCF_003236715.1_ASM323671v1_genomic.fna
GCF_002871795.1	GCF_002871795.1_ASM287179v1_genomic.fna
GCF_002362255.1	GCF_002362255.1_ASM236225v1_genomic.fna
GCF_002307475.1	GCF_002307475.1_ASM230747v1_genomic.fna
