GCF_001428485.1	GCF_001428485.1_Root180_genomic.fna
GCF_001428865.1	GCF_001428865.1_Root241_genomic.fna
GCF_001456955.1	GCF_001456955.1_ASM145695v1_genomic.fna
GCF_001476285.1	GCF_001476285.1_ASM147628v1_genomic.fna
GCF_001476655.1	GCF_001476655.1_ASM147665v1_genomic.fna
GCF_001476895.1	GCF_001476895.1_ASM147689v1_genomic.fna
GCF_001476905.1	GCF_001476905.1_ASM147690v1_genomic.fna
GCF_001477495.1	GCF_001477495.1_ASM147749v1_genomic.fna
GCF_001506165.1	GCF_001506165.1_ASM150616v1_genomic.fna
GCF_001513675.1	GCF_001513675.1_ASM151367v1_genomic.fna
GCF_001552355.1	GCF_001552355.1_ASM155235v1_genomic.fna
GCF_001552475.1	GCF_001552475.1_ASM155247v1_genomic.fna
GCF_001555965.1	GCF_001555965.1_ASM155596v1_genomic.fna
GCF_001556185.1	GCF_001556185.1_ASM155618v1_genomic.fna
GCF_001557215.1	GCF_001557215.1_ASM155721v1_genomic.fna
GCF_001570805.1	GCF_001570805.1_ASM157080v1_genomic.fna
GCF_001584615.1	GCF_001584615.1_ASM158461v1_genomic.fna
GCF_001591005.1	GCF_001591005.1_ASM159100v1_genomic.fna
GCF_001591025.1	GCF_001591025.1_ASM159102v1_genomic.fna
GCF_001592125.1	GCF_001592125.1_ASM159212v1_genomic.fna
GCF_001598355.1	GCF_001598355.1_ASM159835v1_genomic.fna
GCF_001598415.1	GCF_001598415.1_ASM159841v1_genomic.fna
GCF_001598435.1	GCF_001598435.1_ASM159843v1_genomic.fna
GCF_001598455.1	GCF_001598455.1_ASM159845v1_genomic.fna
GCF_001619615.1	GCF_001619615.1_ASM161961v1_genomic.fna
