GCF_001421415.1	GCF_001421415.1_Leaf208_genomic.fna
GCF_001421505.1	GCF_001421505.1_Leaf17_genomic.fna
GCF_001421535.1	GCF_001421535.1_Leaf20_genomic.fna
GCF_001421715.1	GCF_001421715.1_Leaf22_genomic.fna
GCF_001421745.1	GCF_001421745.1_Leaf230_genomic.fna
GCF_001421765.1	GCF_001421765.1_Leaf32_genomic.fna
GCF_001421785.1	GCF_001421785.1_Leaf33_genomic.fna
GCF_001421805.1	GCF_001421805.1_Leaf34_genomic.fna
GCF_001421965.1	GCF_001421965.1_Leaf67_genomic.fna
GCF_001421995.1	GCF_001421995.1_Leaf231_genomic.fna
GCF_001422045.1	GCF_001422045.1_Leaf242_genomic.fna
GCF_001422925.1	GCF_001422925.1_Leaf288_genomic.fna
GCF_001423485.1	GCF_001423485.1_Leaf320_genomic.fna
GCF_001423615.1	GCF_001423615.1_Leaf159_genomic.fna
GCF_001423765.1	GCF_001423765.1_Leaf343_genomic.fna
GCF_001423845.1	GCF_001423845.1_Leaf357_genomic.fna
GCF_001424005.1	GCF_001424005.1_Leaf198_genomic.fna
GCF_001424225.1	GCF_001424225.1_Leaf151_genomic.fna
GCF_001425385.1	GCF_001425385.1_Leaf407_genomic.fna
GCF_001425405.1	GCF_001425405.1_Leaf412_genomic.fna
GCF_001426195.1	GCF_001426195.1_Leaf339_genomic.fna
GCF_001426925.1	GCF_001426925.1_Root53_genomic.fna
GCF_001426995.1	GCF_001426995.1_Root553_genomic.fna
GCF_001427145.1	GCF_001427145.1_Root166_genomic.fna
GCF_001427525.1	GCF_001427525.1_Root61_genomic.fna
