GCF_000759475.1	GCF_000759475.1_ASM75947v1_genomic.fna
GCF_000763375.1	GCF_000763375.1_ASM76337v1_genomic.fna
GCF_000764535.1	GCF_000764535.1_ASM76453v1_genomic.fna
GCF_000773965.1	GCF_000773965.1_ASM77396v1_genomic.fna
GCF_000786205.1	GCF_000786205.1_ASM78620v1_genomic.fna
GCF_000787715.1	GCF_000787715.1_ASM78771v1_genomic.fna
GCF_000797515.1	GCF_000797515.1_ASM79751v1_genomic.fna
GCF_000802305.1	GCF_000802305.1_ASM80230v1_genomic.fna
GCF_000803065.1	GCF_000803065.1_ASM80306v1_genomic.fna
GCF_000826185.2	GCF_000826185.2_Microbacterium_massiliensis_G3_genomic.fna
GCF_000935025.1	GCF_000935025.1_ASM93502v1_genomic.fna
GCF_000956405.1	GCF_000956405.1_ASM95640v1_genomic.fna
GCF_000956465.1	GCF_000956465.1_ASM95646v1_genomic.fna
GCF_000956475.1	GCF_000956475.1_ASM95647v1_genomic.fna
GCF_000956505.1	GCF_000956505.1_ASM95650v1_genomic.fna
GCF_000956525.1	GCF_000956525.1_ASM95652v1_genomic.fna
GCF_000956535.1	GCF_000956535.1_ASM95653v1_genomic.fna
GCF_000956545.1	GCF_000956545.1_ASM95654v1_genomic.fna
GCF_000967865.1	GCF_000967865.1_ASM96786v1_genomic.fna
GCF_000980895.1	GCF_000980895.1_ASM98089v1_genomic.fna
GCF_001049495.1	GCF_001049495.1_Microbacterium_sp._3J1_genomic.fna
GCF_001187905.1	GCF_001187905.1_ASM118790v1_genomic.fna
GCF_001262495.1	GCF_001262495.1_GCS4v1_genomic.fna
GCF_001314225.1	GCF_001314225.1_ASM131422v1_genomic.fna
GCF_001421245.1	GCF_001421245.1_Leaf10_genomic.fna
