GCA_001724425.1	GCA_001724425.1_ASM172442v1_genomic.fna
GCA_001897375.1	GCA_001897375.1_ASM189737v1_genomic.fna
GCA_001897945.1	GCA_001897945.1_ASM189794v1_genomic.fna
GCA_001898315.1	GCA_001898315.1_ASM189831v1_genomic.fna
GCA_001898325.1	GCA_001898325.1_ASM189832v1_genomic.fna
GCA_002083435.1	GCA_002083435.1_ASM208343v1_genomic.fna
GCA_002083475.1	GCA_002083475.1_ASM208347v1_genomic.fna
GCA_002083655.1	GCA_002083655.1_ASM208365v1_genomic.fna
GCA_002095305.1	GCA_002095305.1_ASM209530v1_genomic.fna
GCA_002257455.1	GCA_002257455.1_ASM225745v1_genomic.fna
GCA_002280555.1	GCA_002280555.1_ASM228055v1_genomic.fna
GCA_002280565.1	GCA_002280565.1_ASM228056v1_genomic.fna
GCA_002281485.1	GCA_002281485.1_ASM228148v1_genomic.fna
GCA_002281535.1	GCA_002281535.1_ASM228153v1_genomic.fna
GCA_002292295.1	GCA_002292295.1_ASM229229v1_genomic.fna
GCA_002313585.1	GCA_002313585.1_ASM231358v1_genomic.fna
GCA_002359495.1	GCA_002359495.1_ASM235949v1_genomic.fna
GCA_002403415.1	GCA_002403415.1_ASM240341v1_genomic.fna
GCA_002434205.1	GCA_002434205.1_ASM243420v1_genomic.fna
GCA_002703245.1	GCA_002703245.1_ASM270324v1_genomic.fna
GCA_002707985.1	GCA_002707985.1_ASM270798v1_genomic.fna
GCA_002837415.1	GCA_002837415.1_ASM283741v1_genomic.fna
GCA_002863155.1	GCA_002863155.1_ASM286315v1_genomic.fna
GCA_003075315.1	GCA_003075315.1_ASM307531v1_genomic.fna
GCA_003240625.1	GCA_003240625.1_ASM324062v1_genomic.fna
