accession	ko_id	map_id
1Dt1h	K15371	map00430
1Dt1h	K15371	map00220
1Dt1h	K15371	map00910
1Dt1h	K15371	map00250
1Dt1h	K00265	map00910
1Dt1h	K00265	map00250
1Dt1h	K00265	map01230
1Dt1h	K03046	map03020
1Dt1h	K00164	map00020
1Dt1h	K00164	map01200
1Dt1h	K01616	map00020
1Dt1h	K01616	map00630
1Dt1h	K01616	map01200
1Dt1h	K03723	map03420
1Dt1h	K02337	map03430
1Dt1h	K02337	map03030
1Dt1h	K02337	map03440
1Dt1h	K03043	map03020
1Dt1h	K13821	map00250
1Dt1h	K13821	map00330
1Dt1h	K02343	map03430
1Dt1h	K02343	map03030
1Dt1h	K02343	map03440
1Dt1h	K01958	map00020
1Dt1h	K01958	map00720
1Dt1h	K01958	map00620
1Dt1h	K01958	map01230
1Dt1h	K01958	map01200
1Dt1h	K01955	map00250
1Dt1h	K01955	map00240
1Dt1h	K01955	map01240
1Dt1h	K01870	map00970
1Dt1h	K03657	map03430
1Dt1h	K03657	map03420
1Dt1h	K08300	map03018
1Dt1h	K00123	map00630
1Dt1h	K00123	map00680
1Dt1h	K00123	map01200
1Dt1h	K00281	map00630
1Dt1h	K00281	map00260
1Dt1h	K00281	map01200
1Dt1h	K00283	map00630
1Dt1h	K00283	map00260
1Dt1h	K00283	map01200
1Dt1h	K00302	map00260
1Dt1h	K01869	map00970
1Dt1h	K03701	map03420
1Dt1h	K01256	map00480
1Dt1h	K01584	map00330
1Dt1h	K00943	map00240
1Dt1h	K00943	map01232
1Dt1h	K00163	map00020
1Dt1h	K00163	map00010
1Dt1h	K00163	map00620
1Dt1h	K00163	map01200
1Dt1h	K01434	map00311
1Dt1h	K00163	map00020
1Dt1h	K00163	map00010
1Dt1h	K00163	map00620
1Dt1h	K00163	map01200
1Dt1h	K03070	map03060
1Dt1h	K03070	map03070
1Dt1h	K03070	map02024
1Dt1h	K02335	map03410
1Dt1h	K02335	map03420
1Dt1h	K02335	map03030
1Dt1h	K02335	map03440
1Dt1h	K01681	map00020
1Dt1h	K01681	map01210
1Dt1h	K01681	map00630
1Dt1h	K01681	map00720
1Dt1h	K01681	map01230
1Dt1h	K01681	map01200
1Dt1h	K01081	map00760
1Dt1h	K01081	map00240
1Dt1h	K01081	map01232
1Dt1h	K01081	map00230
1Dt1h	K01256	map00480
1Dt1h	K03695	map04213
1Dt1h	K01872	map00970
1Dt1h	K01873	map00970
1Dt1h	K01087	map00500
1Dt1h	K03657	map03430
1Dt1h	K03657	map03420
1Dt1h	K03695	map04213
1Dt1h	K01890	map00970
1Dt1h	K01971	map03450
1Dt1h	K10747	map03410
1Dt1h	K10747	map03430
