accession	ko_id	map_id
2Dt1e	K03046	map03020
2Dt1e	K02337	map03430
2Dt1e	K02337	map03030
2Dt1e	K02337	map03440
2Dt1e	K03043	map03020
2Dt1e	K01870	map00970
2Dt1e	K03701	map03420
2Dt1e	K00123	map00630
2Dt1e	K00123	map00680
2Dt1e	K00123	map01200
2Dt1e	K08300	map03018
2Dt1e	K00163	map00020
2Dt1e	K00163	map00010
2Dt1e	K00163	map00620
2Dt1e	K00163	map01200
2Dt1e	K01006	map00710
2Dt1e	K01006	map00010
2Dt1e	K01006	map00720
2Dt1e	K01006	map00620
2Dt1e	K01006	map01200
2Dt1e	K00688	map04922
2Dt1e	K00688	map02026
2Dt1e	K00688	map04931
2Dt1e	K00688	map04910
2Dt1e	K00688	map04217
2Dt1e	K00688	map00500
2Dt1e	K01890	map00970
2Dt1e	K01256	map00480
2Dt1e	K01972	map03410
2Dt1e	K01972	map03430
2Dt1e	K01972	map03420
2Dt1e	K01972	map03030
2Dt1e	K01007	map00010
2Dt1e	K01007	map00720
2Dt1e	K01007	map00620
2Dt1e	K01007	map00680
2Dt1e	K01007	map01200
2Dt1e	K21787	map00333
2Dt1e	K01007	map00010
2Dt1e	K01007	map00720
2Dt1e	K01007	map00620
2Dt1e	K01007	map00680
2Dt1e	K01007	map01200
2Dt1e	K21787	map00333
2Dt1e	K01205	map00531
2Dt1e	K01205	map04142
2Dt1e	K05349	map00946
2Dt1e	K05349	map00460
2Dt1e	K05349	map00999
2Dt1e	K05349	map00500
2Dt1e	K05989	map00946
2Dt1e	K00281	map00630
2Dt1e	K00281	map00260
2Dt1e	K00281	map01200
2Dt1e	K00283	map00630
2Dt1e	K00283	map00260
2Dt1e	K00283	map01200
2Dt1e	K00700	map00500
2Dt1e	K00697	map00500
2Dt1e	K16055	map00500
2Dt1e	K01322	map04614
2Dt1e	K03654	map03018
2Dt1e	K03655	map03440
2Dt1e	K00031	map05230
2Dt1e	K00031	map00480
2Dt1e	K00031	map00020
2Dt1e	K00031	map04146
2Dt1e	K00031	map01210
2Dt1e	K00031	map00720
2Dt1e	K00031	map01230
2Dt1e	K00031	map01200
2Dt1e	K02798	map02060
2Dt1e	K02798	map00051
2Dt1e	K02800	map02060
2Dt1e	K02800	map00051
2Dt1e	K12308	map00052
2Dt1e	K01782	map00930
2Dt1e	K01782	map00907
2Dt1e	K01782	map00410
2Dt1e	K01782	map00071
2Dt1e	K01782	map00280
2Dt1e	K01782	map00380
2Dt1e	K01782	map01212
2Dt1e	K01782	map00640
2Dt1e	K01782	map00310
2Dt1e	K01782	map00362
2Dt1e	K01782	map00650
2Dt1e	K01782	map01200
2Dt1e	K16650	map00572
2Dt1e	K00525	map00240
2Dt1e	K00525	map01232
2Dt1e	K00525	map00230
2Dt1e	K03657	map03430
2Dt1e	K03657	map03420
2Dt1e	K13788	map00430
2Dt1e	K13788	map00640
2Dt1e	K13788	map00720
2Dt1e	K13788	map00620
2Dt1e	K13788	map00680
2Dt1e	K13788	map01200
2Dt1e	K05349	map00946
2Dt1e	K05349	map00460
2Dt1e	K05349	map00999
2Dt1e	K05349	map00500
2Dt1e	K00615	map01051
2Dt1e	K00615	map00710
2Dt1e	K00615	map00030
2Dt1e	K00615	map01230
2Dt1e	K00615	map01200
2Dt1e	K00763	map00760
2Dt1e	K00763	map01240
2Dt1e	K16147	map00500
2Dt1e	K00001	map00982
2Dt1e	K00001	map00626
2Dt1e	K00001	map00980
2Dt1e	K00001	map00625
2Dt1e	K00001	map00830
2Dt1e	K00001	map00071
2Dt1e	K00001	map00350
2Dt1e	K00001	map00010
2Dt1e	K00001	map00620
2Dt1e	K00001	map01220
2Dt1e	K00068	map00051
2Dt1e	K01629	map00040
2Dt1e	K01629	map00051
2Dt1e	K02804	map02060
2Dt1e	K02804	map00520
2Dt1e	K01895	map00640
2Dt1e	K01895	map00630
2Dt1e	K01895	map00010
2Dt1e	K01895	map00720
2Dt1e	K01895	map00620
2Dt1e	K01895	map00680
2Dt1e	K01895	map01200
2Dt1e	K01681	map00020
2Dt1e	K01681	map01210
2Dt1e	K01681	map00630
2Dt1e	K01681	map00720
2Dt1e	K01681	map01230
2Dt1e	K01681	map01200
2Dt1e	K02031	map02024
2Dt1e	K02032	map02024
2Dt1e	K01649	map00290
2Dt1e	K01649	map01210
2Dt1e	K01649	map00620
2Dt1e	K01649	map01230
2Dt1e	K12308	map00052
2Dt1e	K03703	map03420
2Dt1e	K03596	map05134
2Dt1e	K04043	map04212
2Dt1e	K04043	map03018
2Dt1e	K04043	map05152
2Dt1e	K02316	map03030
2Dt1e	K01873	map00970
2Dt1e	K01897	map04216
2Dt1e	K01897	map00061
2Dt1e	K01897	map04920
2Dt1e	K01897	map00071
2Dt1e	K01897	map03320
2Dt1e	K01897	map04146
2Dt1e	K01897	map01212
2Dt1e	K01897	map04714
2Dt1e	K01897	map02024
2Dt1e	K03380	map00623
2Dt1e	K03380	map00627
2Dt1e	K14252	map00253
2Dt1e	K14252	map01057
2Dt1e	K02313	map04112
2Dt1e	K02313	map02020
2Dt1e	K01687	map00290
2Dt1e	K01687	map00770
2Dt1e	K01687	map01210
2Dt1e	K01687	map01230
2Dt1e	K00239	map00020
2Dt1e	K00239	map05134
2Dt1e	K00239	map00650
2Dt1e	K00239	map00720
2Dt1e	K00239	map00190
2Dt1e	K00239	map01200
2Dt1e	K00278	map00250
2Dt1e	K00278	map00760
2Dt1e	K00278	map01240
2Dt1e	K00278	map00250
2Dt1e	K00278	map00760
2Dt1e	K00278	map01240
2Dt1e	K00767	map00760
2Dt1e	K00767	map01240
2Dt1e	K00239	map00020
2Dt1e	K00239	map05134
2Dt1e	K00239	map00650
2Dt1e	K00239	map00720
2Dt1e	K00239	map00190
2Dt1e	K00239	map01200
2Dt1e	K00278	map00250
2Dt1e	K00278	map00760
2Dt1e	K00278	map01240
2Dt1e	K02031	map02024
2Dt1e	K02032	map02024
