accession	genus
GCF_010634855.1	Microbacterium
3Dt2h	Microbacterium
GCA_014197265.1	Microbacterium
GCF_001620065.1	Microbacterium
GCF_000383475.1	Microbacterium
GCF_902706225.1	Microbacterium
GCF_009649635.1	Microbacterium
GCF_008271365.1	Microbacterium
GCF_002362255.1	Microbacterium
2Dt1l	Microbacterium
GCF_900169175.1	Brevibacterium
GCF_018137945.1	Brevibacterium
GCF_016892625.1	Brevibacterium
GCF_900169365.1	Brevibacterium
GCF_900169065.1	Brevibacterium
1Dt1h	Brevibacterium
GCF_004745075.1	Brevibacterium
GCF_004745485.1	Brevibacterium
GCF_013623905.1	Brevibacterium
GCF_900169165.1	Brevibacterium
GCF_016907455.1	Brachybacterium
GCF_005490785.1	Brachybacterium
GCF_002871795.1	Brachybacterium
GCF_003711805.1	Brachybacterium
GCF_003347015.1	Brachybacterium
GCF_014897585.1	Brachybacterium
GCA_014400405.1	Brachybacterium
GCF_000576425.1	Brachybacterium
GCF_016623465.1	Brachybacterium
2Dt1e	Brachybacterium
3Dt2j	Sphingomonas
1Dt100g	Sphingomonas
GCA_004799495.1	Sphingomonas
GCF_004340945.1	Sphingomonas
GCF_013374115.1	Sphingomonas
GCF_014196115.1	Sphingomonas
3Dt2c	Sphingomonas
GCF_001421355.1	Sphingomonas
3Dt1c	Sphingomonas
GCA_017418975.1	Sphingomonas
GCF_002307475.1	Pantoea
GCF_001598475.1	Pantoea
GCF_013415305.1	Pantoea
GCF_003236715.1	Pantoea
GCF_006494415.1	Pantoea
GCF_000295955.2	Pantoea
GCF_000175935.2	Pantoea
1Dt2d	Pantoea
GCF_002095465.1	Pantoea
GCF_014155765.1	Pantoea
