"","x"
"1","K06915"
"2","K04771"
"3","K04087"
"4","K01006"
"5","K01879"
"6","K01878"
"7","K01676"
"8","K00606"
"9","K03977"
"10","K20976"
"11","K03594"
"12","K07148"
"13","K01952"
"14","K00537"
"15","K01961"
"16","K02160"
"17","K03786"
"18","K03149"
"19","K03149"
"20","K01652"
"21","K00135"
"22","K01053"
"23","K16079"
"24","K01028"
"25","K01029"
"26","K00344"
"27","K00344"
"28","K07390"
"29","K03517"
"30","K01322"
"31","K00767"
"32","K03500"
"33","K01783"
"34","K00602"
"35","K02335"
"36","K17836"
"37","K00278"
"38","K01990"
"39","K03568"
"40","K03684"
"41","K01876"
"42","K01673"
"43","K03644"
"44","K18588"
"45","K05838"
"46","K07157"
"47","K03185"
"48","K03466"
"49","K07340"
"50","K00088"
"51","K03500"
"52","K02528"
"53","K00097"
"54","K03771"
"55","K04744"
"56","K08992"
"57","K01591"
"58","K03694"
"59","K08309"
"60","K04760"
"61","K01066"
"62","K01595"
"63","K00567"
"64","K07107"
"65","K01354"
"66","K09781"
"67","K01262"
"68","K00033"
"69","K00626"
"70","K09699"
"71","K00167"
"72","K00166"
"73","K01284"
"74","K07220"
"75","K03306"
"76","K09807"
"77","K07516"
"78","K10805"
"79","K00121"
"80","K11209"
"81","K00059"
"82","K02014"
"83","K03782"
"84","K04761"
"85","K02019"
"86","K02014"
"87","K02237"
"88","K12262"
"89","K13589"
"90","K00140"
"91","K00249"
"92","K01692"
"93","K01692"
"94","K00020"
"95","K01775"
"96","K13525"
"97","K14162"
"98","K00799"
"99","K03147"
"100","K13590"
"101","K06910"
"102","K01971"
"103","K10979"
"104","K00275"
"105","K13283"
"106","K00566"
"107","K09807"
"108","K01255"
"109","K02339"
"110","K02939"
"111","K02963"
"112","K02990"
"113","K00645"
"114","K00059"
"115","K02078"
"116","K09458"
"117","K07082"
"118","K01625"
"119","K00845"
"120","K01690"
"121","K01057"
"122","K00036"
"123","K00145"
"124","K21471"
"125","K21473"
"126","K03075"
"127","K01937"
"128","K04080"
"129","K09808"
