map_id	genus	prop	name	class	subclass
map00944	Brachybacterium	0.8934250107434465	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
map00944	Brevibacterium	0	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
map00944	Microbacterium	0.1065749892565535	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
map04072	Brachybacterium	0.9867577958137548	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
map04072	Brevibacterium	0	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
map04072	Microbacterium	0.013242204186245193	Phospholipase D signaling pathway	Environmental Information Processing	Signal transduction
map04210	Brachybacterium	0.09349387837701102	Apoptosis	Cellular Processes	Cell growth and death
map04210	Brevibacterium	0.03450369321056359	Apoptosis	Cellular Processes	Cell growth and death
map04210	Microbacterium	0.8720024284124255	Apoptosis	Cellular Processes	Cell growth and death
map04214	Brachybacterium	0.12242194055558007	Apoptosis - fly	Cellular Processes	Cell growth and death
map04214	Brevibacterium	0.8282913041558096	Apoptosis - fly	Cellular Processes	Cell growth and death
map04214	Microbacterium	0.049286755288610165	Apoptosis - fly	Cellular Processes	Cell growth and death
map04612	Brachybacterium	0.14917662253793995	Antigen processing and presentation	Organismal Systems	Immune system
map04612	Brevibacterium	0	Antigen processing and presentation	Organismal Systems	Immune system
map04612	Microbacterium	0.85082337746206	Antigen processing and presentation	Organismal Systems	Immune system
map04657	Brachybacterium	0.14917662253793995	IL-17 signaling pathway	Organismal Systems	Immune system
map04657	Brevibacterium	0	IL-17 signaling pathway	Organismal Systems	Immune system
map04657	Microbacterium	0.85082337746206	IL-17 signaling pathway	Organismal Systems	Immune system
map04659	Brachybacterium	0.14917662253793995	Th17 cell differentiation	Organismal Systems	Immune system
map04659	Brevibacterium	0	Th17 cell differentiation	Organismal Systems	Immune system
map04659	Microbacterium	0.85082337746206	Th17 cell differentiation	Organismal Systems	Immune system
map04914	Brachybacterium	0.14917662253793995	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
map04914	Brevibacterium	0	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
map04914	Microbacterium	0.85082337746206	Progesterone-mediated oocyte maturation	Organismal Systems	Endocrine system
map04915	Brachybacterium	0.14917662253793995	Estrogen signaling pathway	Organismal Systems	Endocrine system
map04915	Brevibacterium	0	Estrogen signaling pathway	Organismal Systems	Endocrine system
map04915	Microbacterium	0.85082337746206	Estrogen signaling pathway	Organismal Systems	Endocrine system
map05207	Brachybacterium	0.17416436290525256	Chemical carcinogenesis - receptor activation	Human Diseases	Cancer: overview
map05207	Brevibacterium	0	Chemical carcinogenesis - receptor activation	Human Diseases	Cancer: overview
map05207	Microbacterium	0.8258356370947474	Chemical carcinogenesis - receptor activation	Human Diseases	Cancer: overview
map05215	Brachybacterium	0.14917662253793995	Prostate cancer	Human Diseases	Cancer: specific types
map05215	Brevibacterium	0	Prostate cancer	Human Diseases	Cancer: specific types
map05215	Microbacterium	0.85082337746206	Prostate cancer	Human Diseases	Cancer: specific types
map05231	Brachybacterium	0.9879471228615863	Choline metabolism in cancer	Human Diseases	Cancer: overview
map05231	Brevibacterium	0	Choline metabolism in cancer	Human Diseases	Cancer: overview
map05231	Microbacterium	0.012052877138413685	Choline metabolism in cancer	Human Diseases	Cancer: overview
map00062	Brachybacterium	0	Fatty acid elongation	Metabolism	Lipid metabolism
map00062	Brevibacterium	0.9565217391304347	Fatty acid elongation	Metabolism	Lipid metabolism
map00062	Microbacterium	0.043478260869565216	Fatty acid elongation	Metabolism	Lipid metabolism
map00591	Brachybacterium	0	Linoleic acid metabolism	Metabolism	Lipid metabolism
map00591	Brevibacterium	1	Linoleic acid metabolism	Metabolism	Lipid metabolism
map00591	Microbacterium	0	Linoleic acid metabolism	Metabolism	Lipid metabolism
map00901	Brachybacterium	0	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
map00901	Brevibacterium	0.152073732718894	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
map00901	Microbacterium	0.847926267281106	Indole alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
