map_id	Brachybacterium	Brevibacterium	Microbacterium	Pantoea	Sphingomonas
map00010	1394	2187	11685	2967	5591
map00020	775	1410	7721	1167	4369
map00030	851	681	6601	2716	3993
map00040	739	324	4052	1521	2799
map00051	1109	709	7980	2354	3526
map00052	839	456	6009	1179	3118
map00053	306	404	1927	925	1392
map00061	459	1130	3405	996	3318
map00071	402	1995	5766	825	4655
map00130	278	494	2554	905	1696
map00140	1	7	106	0	42
map00190	903	1254	6618	2021	10094
map00195	272	379	2090	381	2074
map00220	650	1090	4578	1341	2347
map00230	1788	2527	12907	3798	9845
map00232	5	45	66	0	16
map00240	1111	1667	7727	2598	5867
map00250	978	1671	7370	1952	4741
map00253	6	1	9	0	1
map00260	1158	2268	7713	2369	5913
map00261	237	418	1802	731	1482
map00270	990	1644	8166	2807	6503
map00280	537	2143	8032	812	6704
map00290	430	772	3070	837	2998
map00300	575	881	4032	1201	2691
map00310	377	1247	4784	816	3296
map00311	58	169	848	14	324
map00330	519	1446	5605	1765	4031
map00332	95	170	700	102	399
map00333	271	508	1623	370	1198
map00340	641	1023	4767	1043	2937
map00350	370	1226	4754	892	3052
map00360	288	1448	6017	623	3761
map00361	61	156	422	319	965
map00362	322	1299	5515	686	4209
map00364	36	44	54	180	645
map00380	398	1330	5477	679	4255
map00400	773	1248	6002	1668	4244
map00401	185	362	1572	346	715
map00405	101	198	963	156	410
map00410	178	847	3285	661	1444
map00430	109	235	1232	305	792
map00440	53	77	922	416	455
map00450	335	577	2381	816	2679
map00460	202	235	1924	605	1893
map00470	339	676	2339	770	2508
map00480	327	470	2640	1310	4366
map00500	1137	607	9316	2756	4617
map00510	35	41	298	21	211
map00511	304	0	1058	121	1138
map00513	53	0	251	54	135
map00514	32	44	232	0	174
map00515	32	44	232	0	174
map00520	1519	1335	10120	2761	7307
map00521	408	384	3021	813	1509
map00523	135	82	1114	300	746
map00524	117	69	943	190	213
map00525	86	64	675	145	391
map00531	173	46	670	103	476
map00540	3	13	109	1966	455
map00541	639	609	4579	1093	3666
map00542	31	68	231	62	2
map00543	81	126	630	464	758
map00550	595	849	4624	1276	4326
map00552	137	308	1763	168	451
map00561	611	596	3358	967	1680
map00562	267	300	2015	973	1327
map00564	522	671	3537	1262	3033
map00565	36	25	237	62	39
map00571	3	0	77	0	260
map00572	68	70	429	51	3
map00590	28	45	38	99	152
map00592	33	139	772	159	312
map00600	201	8	952	123	738
map00603	101	1	563	60	263
map00604	53	0	252	54	132
map00620	1291	2656	11233	2923	7775
map00621	20	42	180	55	422
map00622	44	129	621	83	546
map00623	45	109	443	160	675
map00624	4	74	366	18	258
map00625	197	604	1791	571	1302
map00626	113	280	1029	267	646
map00627	90	515	1782	325	1756
map00630	1103	2257	9631	1845	6708
map00633	10	22	111	195	78
map00640	595	1349	6535	1293	4401
map00642	2	101	553	109	334
map00643	61	375	1208	118	1026
map00650	585	2097	6691	1530	6201
map00660	221	544	2011	621	1907
map00670	395	601	2605	719	2717
map00680	854	1082	6182	1858	3265
map00710	502	517	3586	1394	2921
map00720	718	1320	5737	1263	5894
map00730	388	622	1955	749	2338
map00740	289	525	2487	1061	1980
map00750	226	342	1606	487	1308
map00760	571	964	4944	1283	3403
map00770	474	1038	3867	1166	3513
map00780	275	693	1838	1038	2647
map00785	93	123	682	129	398
map00790	581	835	5389	1353	5208
map00791	65	82	252	320	101
map00830	110	303	1068	216	608
map00860	527	686	4020	1222	6236
map00900	653	1163	5076	822	2975
map00906	103	107	534	223	1162
map00907	37	414	1561	316	1146
map00908	31	43	229	52	196
map00910	425	585	2723	919	2156
map00920	455	659	3460	1809	4326
map00930	77	300	1063	225	1222
map00944	36	0	32	2	4
map00946	146	36	1827	238	1180
map00950	98	284	1312	207	489
map00960	162	382	1527	315	610
map00966	62	85	479	113	457
map00970	836	1292	5788	1337	5089
map00980	106	275	970	514	2273
map00981	34	211	513	131	288
map00982	106	310	1199	521	2453
map00983	472	635	3411	958	3189
map00984	35	83	261	4	102
map00997	29	34	77	73	14
map00998	47	53	568	229	265
map00999	168	153	2082	349	1617
map01040	62	101	561	147	596
map01051	158	107	814	263	271
map01052	5	12	199	0	6
map01053	34	61	282	369	153
map01054	19	27	51	50	57
map01055	28	64	371	72	216
map01057	9	69	52	0	8
map01059	5	43	206	3	44
map01200	3201	5022	26144	6195	19019
map01210	933	1552	6404	1793	4525
map01212	617	2250	6505	1314	6152
map01220	329	1022	3876	683	2491
map01230	4026	6007	29709	7775	21537
map01232	1476	1957	9691	2965	7728
map01240	3703	5874	29050	7703	26054
map01250	1235	1201	8916	2582	6608
map01501	240	234	1554	2262	3597
map01502	202	320	2448	343	1179
map01503	32	128	423	2624	1909
map01523	112	115	856	258	813
map01524	122	201	990	356	2269
map02020	1226	1897	9367	9780	19199
map02024	2145	3482	22105	6413	6542
map02025	192	275	1325	1691	1846
map02026	170	103	921	2370	2312
map02030	37	25	984	3164	5665
map02040	59	51	2406	2708	8893
map02060	363	134	2618	2204	770
map03008	56	84	543	124	199
map03010	1692	2238	12103	2607	10592
map03015	5	25	27	0	0
map03018	547	701	3502	865	3085
map03020	129	170	948	192	794
map03022	32	43	233	0	0
map03030	588	683	4504	988	3481
map03050	29	122	0	1	0
map03060	546	853	4490	873	3413
