"","x"
"1","K06915"
"2","K04771"
"3","K04087"
"4","K01006"
"5","K01879"
"6","K01878"
"7","K01676"
"8","K00606"
"9","K03977"
"10","K20976"
"11","K03594"
"12","K07148"
"13","K01952"
"14","K01115"
"15","K00537"
"16","K01961"
"17","K02160"
"18","K03786"
"19","K03154"
"20","K03149"
"21","K01652"
"22","K00135"
"23","K01053"
"24","K16079"
"25","K01028"
"26","K01029"
"27","K00344"
"28","K05527"
"29","K07390"
"30","K02171"
"31","K01069"
"32","K03517"
"33","K01322"
"34","K00767"
"35","K03500"
"36","K01783"
"37","K00602"
"38","K02335"
"39","K17836"
"40","K00278"
"41","K01990"
"42","K03568"
"43","K00108"
"44","K03684"
"45","K01876"
"46","K01673"
"47","K03644"
"48","K18588"
"49","K05838"
"50","K07157"
"51","K03185"
"52","K00088"
"53","K03500"
"54","K02528"
"55","K00097"
"56","K03771"
"57","K04744"
"58","K08992"
"59","K01591"
"60","K00344"
"61","K03694"
"62","K08309"
"63","K04760"
"64","K01269"
"65","K06020"
"66","K01302"
"67","K00001"
"68","K07124"
"69","K01066"
"70","K08995"
"71","K01595"
"72","K00567"
"73","K07107"
"74","K01354"
"75","K03674"
"76","K09781"
"77","K01262"
"78","K18290"
"79","K00033"
"80","K00626"
"81","K09699"
"82","K00167"
"83","K00166"
"84","K01439"
"85","K01284"
"86","K07220"
"87","K01897"
"88","K07516"
"89","K00249"
"90","K00249"
"91","K10805"
"92","K00059"
"93","K11147"
"94","K00249"
"95","K00121"
"96","K00249"
"97","K02014"
"98","K00249"
"99","K00249"
"100","K11209"
"101","K00059"
"102","K12508"
"103","K03782"
"104","K04761"
"105","K02019"
"106","K02014"
"107","K02237"
"108","K07727"
"109","K11927"
"110","K12262"
"111","K01458"
"112","K13589"
"113","K00140"
"114","K09022"
"115","K00249"
"116","K03821"
"117","K01692"
"118","K01692"
"119","K00020"
"120","K03762"
"121","K01775"
"122","K13525"
"123","K14162"
"124","K00799"
"125","K00493"
"126","K07693"
"127","K03147"
"128","K00683"
"129","K03386"
