accession	ko_id	map_id
3Dt2j	K15371	map00430
3Dt2j	K15371	map00220
3Dt2j	K15371	map00910
3Dt2j	K15371	map00250
3Dt2j	K00265	map00910
3Dt2j	K00265	map00250
3Dt2j	K00265	map01230
3Dt2j	K03046	map03020
3Dt2j	K03043	map03020
3Dt2j	K02337	map03430
3Dt2j	K02337	map03030
3Dt2j	K02337	map03440
3Dt2j	K03723	map03420
3Dt2j	K01955	map00250
3Dt2j	K01955	map00240
3Dt2j	K01955	map01240
3Dt2j	K18138	map01503
3Dt2j	K18138	map01501
3Dt2j	K18138	map01503
3Dt2j	K18138	map01501
3Dt2j	K03701	map03420
3Dt2j	K13821	map00250
3Dt2j	K13821	map00330
3Dt2j	K01870	map00970
3Dt2j	K11891	map03070
3Dt2j	K11891	map02025
3Dt2j	K00164	map00020
3Dt2j	K00164	map01200
3Dt2j	K01873	map00970
3Dt2j	K01872	map00970
3Dt2j	K02335	map03410
3Dt2j	K02335	map03420
3Dt2j	K02335	map03030
3Dt2j	K02335	map03440
3Dt2j	K03070	map03060
3Dt2j	K03070	map03070
3Dt2j	K03070	map02024
3Dt2j	K00990	map02020
3Dt2j	K01595	map00710
3Dt2j	K01595	map00720
3Dt2j	K01595	map00620
3Dt2j	K01595	map00680
3Dt2j	K01595	map01200
3Dt2j	K11907	map03070
3Dt2j	K11907	map02025
3Dt2j	K01681	map00020
3Dt2j	K01681	map01210
3Dt2j	K01681	map00630
3Dt2j	K01681	map00720
3Dt2j	K01681	map01230
3Dt2j	K01681	map01200
3Dt2j	K01006	map00710
3Dt2j	K01006	map00010
3Dt2j	K01006	map00720
3Dt2j	K01006	map00620
3Dt2j	K01006	map01200
3Dt2j	K07646	map02020
3Dt2j	K08300	map03018
3Dt2j	K01256	map00480
3Dt2j	K00548	map00450
3Dt2j	K00548	map00670
3Dt2j	K00548	map00270
3Dt2j	K00548	map01230
3Dt2j	K03695	map04213
3Dt2j	K05366	map00550
3Dt2j	K05366	map01501
3Dt2j	K01869	map00970
3Dt2j	K15408	map00190
3Dt2j	K05349	map00946
3Dt2j	K05349	map00460
3Dt2j	K05349	map00999
3Dt2j	K05349	map00500
3Dt2j	K01971	map03450
3Dt2j	K01890	map00970
3Dt2j	K01338	map04112
3Dt2j	K00549	map00450
3Dt2j	K00549	map00270
3Dt2j	K00549	map01230
3Dt2j	K11177	map01232
3Dt2j	K11177	map00230
3Dt2j	K01879	map00970
3Dt2j	K03407	map02030
3Dt2j	K03407	map02020
3Dt2j	K01322	map04614
3Dt2j	K13525	map05134
3Dt2j	K13525	map04141
3Dt2j	K13525	map05014
3Dt2j	K13525	map05022
3Dt2j	K08484	map02060
3Dt2j	K00029	map00710
3Dt2j	K00029	map03320
3Dt2j	K00029	map00620
3Dt2j	K00029	map01200
3Dt2j	K05349	map00946
3Dt2j	K05349	map00460
3Dt2j	K05349	map00999
3Dt2j	K05349	map00500
3Dt2j	K01278	map04974
3Dt2j	K13598	map02020
3Dt2j	K01952	map00230
3Dt2j	K12573	map03018
3Dt2j	K03702	map03420
3Dt2j	K03782	map00940
3Dt2j	K03782	map00983
3Dt2j	K03782	map00360
3Dt2j	K03782	map00380
3Dt2j	K11177	map01232
3Dt2j	K11177	map00230
3Dt2j	K00937	map03018
3Dt2j	K00937	map00190
3Dt2j	K04066	map03440
3Dt2j	K02453	map03070
3Dt2j	K02453	map05111
3Dt2j	K01847	map00280
3Dt2j	K01847	map00640
3Dt2j	K01847	map00630
3Dt2j	K01847	map00720
3Dt2j	K01847	map01200
3Dt2j	K01354	map05143
3Dt2j	K01354	map05142
3Dt2j	K05366	map00550
3Dt2j	K05366	map01501
3Dt2j	K00951	map00230
3Dt2j	K01139	map00230
3Dt2j	K01972	map03410
3Dt2j	K01972	map03430
3Dt2j	K01972	map03420
3Dt2j	K01972	map03030
3Dt2j	K02400	map02040
3Dt2j	K00962	map03018
3Dt2j	K00341	map00190
3Dt2j	K01638	map00630
3Dt2j	K01638	map00620
3Dt2j	K01638	map01200
3Dt2j	K03781	map04016
3Dt2j	K03781	map04212
3Dt2j	K03781	map04213
3Dt2j	K03781	map04211
3Dt2j	K03781	map04146
3Dt2j	K03781	map00380
3Dt2j	K03781	map04011
3Dt2j	K03781	map04068
3Dt2j	K03781	map00630
3Dt2j	K03781	map05208
3Dt2j	K03781	map05014
3Dt2j	K03781	map01200
3Dt2j	K03781	map05022
3Dt2j	K13409	map04626
3Dt2j	K16554	map05111
3Dt2j	K03655	map03440
3Dt2j	K01547	map02020
3Dt2j	K01965	map00280
3Dt2j	K01965	map00640
3Dt2j	K01965	map00630
3Dt2j	K01965	map01200
3Dt2j	K03086	map02040
3Dt2j	K07516	map00071
3Dt2j	K07516	map01212
3Dt2j	K07516	map00362
3Dt2j	K07516	map00650
3Dt2j	K07516	map01200
3Dt2j	K05515	map00550
3Dt2j	K05515	map01501
3Dt2j	K05366	map00550
3Dt2j	K05366	map01501
3Dt2j	K01868	map00970
3Dt2j	K02298	map00190
3Dt2j	K00336	map00190
3Dt2j	K01190	map00511
3Dt2j	K01190	map00600
3Dt2j	K01190	map00052
3Dt2j	K00615	map01051
3Dt2j	K00615	map00710
3Dt2j	K00615	map00030
3Dt2j	K00615	map01230
3Dt2j	K00615	map01200
3Dt2j	K00174	map00020
3Dt2j	K00174	map00010
3Dt2j	K00174	map00650
3Dt2j	K00174	map00720
3Dt2j	K00174	map00620
3Dt2j	K00174	map01200
3Dt2j	K01895	map00640
3Dt2j	K01895	map00630
3Dt2j	K01895	map00010
3Dt2j	K01895	map00720
3Dt2j	K01895	map00620
3Dt2j	K01895	map00680
3Dt2j	K01895	map01200
3Dt2j	K03657	map03430
3Dt2j	K03657	map03420
3Dt2j	K01662	map00730
3Dt2j	K01662	map00900
3Dt2j	K04043	map04212
3Dt2j	K04043	map03018
3Dt2j	K04043	map05152
3Dt2j	K03703	map03420
3Dt2j	K00955	map00261
3Dt2j	K00955	map00450
3Dt2j	K00955	map00920
3Dt2j	K00955	map00230
3Dt2j	K00956	map00261
3Dt2j	K00956	map00450
3Dt2j	K00956	map00920
3Dt2j	K00956	map00230
3Dt2j	K00525	map00240
3Dt2j	K00525	map01232
3Dt2j	K00525	map00230
3Dt2j	K01968	map00280
3Dt2j	K01953	map00250
3Dt2j	K01953	map01230
3Dt2j	K02316	map03030
3Dt2j	K09883	map00860
3Dt2j	K09883	map01240
3Dt2j	K01876	map00970
3Dt2j	K00820	map00250
3Dt2j	K00820	map04931
3Dt2j	K00820	map00520
3Dt2j	K00820	map05415
3Dt2j	K00820	map01250
3Dt2j	K01690	map00030
3Dt2j	K01690	map01200
3Dt2j	K01283	map04614
3Dt2j	K01283	map04924
3Dt2j	K01283	map05410
3Dt2j	K01283	map05142
3Dt2j	K01283	map05415
3Dt2j	K01283	map05171
3Dt2j	K03596	map05134
3Dt2j	K00239	map00020
3Dt2j	K00239	map05134
3Dt2j	K00239	map00650
3Dt2j	K00239	map00720
3Dt2j	K00239	map00190
3Dt2j	K00239	map01200
3Dt2j	K22186	map00040
3Dt2j	K01897	map04216
3Dt2j	K01897	map00061
3Dt2j	K01897	map04920
3Dt2j	K01897	map00071
3Dt2j	K01897	map03320
3Dt2j	K01897	map04146
3Dt2j	K01897	map01212
3Dt2j	K01897	map04714
3Dt2j	K01897	map02024
3Dt2j	K03654	map03018
3Dt2j	K03572	map03430
3Dt2j	K01665	map00790
3Dt2j	K01665	map01240
3Dt2j	K03342	map00790
3Dt2j	K03342	map01240
3Dt2j	K07462	map03410
3Dt2j	K07462	map03430
3Dt2j	K07462	map03440
3Dt2j	K03821	map00650
3Dt2j	K01652	map00290
3Dt2j	K01652	map00660
3Dt2j	K01652	map00770
3Dt2j	K01652	map01210
3Dt2j	K01652	map00650
3Dt2j	K01652	map01230
3Dt2j	K01687	map00290
