map_id	Brachybacterium	Brevibacterium	Microbacterium	Pantoea	Sphingomonas
map00010	31	42	231	48	200
map00020	31	42	231	48	199
map00030	31	41	231	48	199
map00040	27	2	174	44	124
map00051	31	20	228	48	121
map00052	31	13	222	33	97
map00053	12	2	17	16	2
map00061	1	42	24	48	200
map00071	12	42	229	2	186
map00130	2	21	88	48	15
map00190	29	42	226	46	200
map00220	31	42	230	47	195
map00230	31	42	231	48	200
map00240	31	42	231	48	200
map00250	31	42	231	48	200
map00260	31	42	231	48	200
map00261	14	37	106	48	192
map00270	31	42	231	48	200
map00280	17	42	231	0	200
map00290	31	42	230	48	200
map00300	31	42	231	48	200
map00330	3	41	217	48	182
map00340	31	42	231	48	199
map00350	1	28	112	3	95
map00360	1	36	216	0	192
map00400	31	42	231	48	200
map00405	1	4	4	0	0
map00410	1	39	189	1	0
map00450	31	40	192	47	198
map00470	25	42	49	36	161
map00480	26	3	87	48	200
map00500	31	7	231	48	110
map00511	25	0	42	0	44
map00520	31	42	231	48	200
map00521	29	34	215	48	137
map00531	8	0	1	0	3
map00541	25	20	200	18	161
map00550	30	42	231	48	200
map00561	27	0	1	0	0
map00620	31	42	231	48	200
map00630	31	42	231	48	200
map00640	28	42	230	48	200
map00650	15	42	224	19	199
map00660	30	42	228	48	197
map00670	31	42	230	48	200
map00680	15	3	119	1	5
map00710	31	42	231	48	200
map00720	29	42	231	48	200
map00730	30	42	137	48	198
map00740	25	40	192	48	127
map00750	23	42	202	48	104
map00760	29	40	230	48	192
map00770	31	42	231	48	200
map00790	29	41	229	48	200
map00791	1	1	15	0	1
map00860	2	0	15	0	182
map00900	31	42	231	47	180
map00910	19	21	96	26	36
map00920	9	6	24	48	186
map00970	31	42	231	48	200
map00983	30	42	231	48	197
map01200	31	42	231	48	200
map01210	31	42	231	48	200
map01212	1	42	210	46	200
map01230	31	42	231	48	200
map01232	31	42	231	48	200
map01240	31	42	231	48	200
map01250	31	33	227	48	178
map01502	26	42	230	0	177
map02024	7	31	215	48	70
map02060	19	0	55	48	0
map03010	31	42	231	47	200
map03018	30	42	226	48	200
map03030	31	42	231	48	200
map03060	31	42	231	48	200
map03070	30	42	231	48	200
map03410	30	42	231	48	200
map03420	29	42	229	0	102
map03430	31	42	231	48	200
map03440	31	42	231	48	200
map04112	30	42	230	48	200
map04122	29	41	208	48	200
map05230	12	2	42	0	2
map00195	0	3	2	0	1
map00310	0	1	0	0	0
map00332	0	5	0	0	0
map00361	0	4	0	0	3
map00362	0	32	127	1	68
map00364	0	3	0	0	9
map00380	0	37	160	0	93
map00430	0	11	63	0	0
map00440	0	1	10	4	0
map00460	0	3	1	0	2
map00622	0	5	11	0	13
map00625	0	2	0	1	1
map00643	0	17	5	0	27
map00780	0	20	0	48	200
map00907	0	5	6	0	4
map00930	0	7	13	0	11
map00984	0	2	2	0	6
map01220	0	5	11	0	6
map04146	0	5	0	0	0
map00311	0	0	18	0	0
map00552	0	0	1	0	0
map00621	0	0	2	0	5
map01053	0	0	3	8	0
map02030	0	0	67	47	199
map02040	0	0	69	47	194
map00540	0	0	0	48	1
map00564	0	0	0	45	39
map01501	0	0	0	43	22
map01503	0	0	0	48	2
map02020	0	0	0	48	200
map02025	0	0	0	42	40
map02026	0	0	0	48	46
map05111	0	0	0	34	194
map00603	0	0	0	0	1
map00623	0	0	0	0	1
map00627	0	0	0	0	12
map00642	0	0	0	0	2
map00982	0	0	0	0	1
