accession	genus
GCA_003248605.1	Microbacterium
GCA_003476465.1	Microbacterium
GCF_002812725.1	Microbacterium
GCF_002812805.1	Microbacterium
GCF_006715145.1	Microbacterium
GCF_001427525.1	Microbacterium
GCF_003991875.1	Microbacterium
GCF_008710745.1	Microbacterium
GCA_018895315.1	Microbacterium
GCF_900100885.1	Microbacterium
GCA_011620715.1	Microbacterium
GCF_900114345.1	Microbacterium
GCF_000304335.1	Microbacterium
GCF_012524205.1	Microbacterium
GCF_004010105.1	Microbacterium
GCF_015277855.1	Microbacterium
GCF_015277815.1	Microbacterium
GCF_014779795.1	Microbacterium
GCF_006783905.1	Microbacterium
GCF_000956465.1	Microbacterium
GCF_001422925.1	Microbacterium
GCF_010634855.1	Microbacterium
GCF_015278355.1	Microbacterium
GCF_015278255.1	Microbacterium
GCF_015278315.1	Microbacterium
GCF_900292075.1	Microbacterium
GCF_001428485.1	Microbacterium
GCF_012847295.1	Microbacterium
GCF_014837165.1	Microbacterium
GCF_018588945.1	Microbacterium
GCF_001427145.1	Microbacterium
GCF_003999995.1	Microbacterium
GCF_005502885.1	Microbacterium
GCF_014208045.1	Microbacterium
GCF_013282805.1	Microbacterium
GCF_017831975.1	Microbacterium
GCF_004362195.1	Microbacterium
GCF_011046485.1	Microbacterium
GCF_011759705.1	Microbacterium
GCF_900155915.1	Microbacterium
GCF_013409785.1	Microbacterium
GCF_013410955.1	Microbacterium
GCF_003850245.1	Microbacterium
GCF_006715565.1	Microbacterium
GCF_015565955.1	Microbacterium
GCA_001898325.1	Microbacterium
GCA_002313585.1	Microbacterium
GCF_003931875.1	Microbacterium
GCF_004564355.1	Microbacterium
GCF_008727775.1	Microbacterium
GCF_003635115.1	Microbacterium
GCF_003095395.1	Microbacterium
GCF_008017415.1	Microbacterium
GCF_005774735.1	Microbacterium
GCF_004022425.1	Microbacterium
GCF_001984105.1	Microbacterium
GCF_000333395.1	Microbacterium
GCF_001619615.1	Microbacterium
GCF_900156455.1	Microbacterium
GCA_016870695.1	Microbacterium
GCF_001476285.1	Microbacterium
GCF_000202635.1	Microbacterium
GCF_001476655.1	Microbacterium
GCF_001792815.1	Microbacterium
GCF_007679045.1	Microbacterium
GCF_900104345.1	Microbacterium
GCF_008763945.1	Microbacterium
GCF_006539145.1	Microbacterium
GCF_001456955.1	Microbacterium
GCF_001424225.1	Microbacterium
GCF_014192415.1	Microbacterium
GCF_003075375.1	Microbacterium
GCF_004854025.1	Microbacterium
GCF_900156435.1	Microbacterium
3Dt2h	Microbacterium
GCF_001652465.1	Microbacterium
GCA_002703245.1	Microbacterium
GCF_015277875.1	Microbacterium
GCF_014836535.1	Microbacterium
GCF_001314225.1	Microbacterium
GCA_014197265.1	Microbacterium
GCA_900078385.1	Microbacterium
GCF_007992455.1	Microbacterium
GCF_003651225.1	Microbacterium
GCF_015350795.1	Microbacterium
GCF_001592125.1	Microbacterium
GCF_000411455.1	Microbacterium
GCF_003293595.1	Microbacterium
GCF_016907555.1	Microbacterium
GCF_016907815.1	Microbacterium
GCA_003248655.1	Microbacterium
GCF_016907295.1	Microbacterium
GCA_001724425.1	Microbacterium
GCF_018717645.1	Microbacterium
GCA_003248845.1	Microbacterium
GCA_017305435.1	Microbacterium
GCF_006716815.1	Microbacterium
GCF_015707995.1	Microbacterium
GCA_001898315.1	Microbacterium
GCA_011620665.1	Microbacterium
GCF_001620065.1	Microbacterium
GCF_008710705.1	Microbacterium
GCF_013389665.1	Microbacterium
GCF_017876655.1	Microbacterium
GCF_900102175.1	Microbacterium
GCF_003610405.1	Microbacterium
GCF_003289625.1	Microbacterium
GCF_002245215.1	Microbacterium
GCF_014204835.1	Microbacterium
GCF_001644225.1	Microbacterium
GCF_001552475.1	Microbacterium
GCF_000383475.1	Microbacterium
GCF_900102005.1	Microbacterium
GCF_001691565.1	Microbacterium
GCF_000956535.1	Microbacterium
