map_id	Brachybacterium	Brevibacterium	Microbacterium	Pantoea	Sphingomonas
map00010	437	562	513	584	268
map00020	234	354	341	221	212
map00030	270	166	298	534	189
map00040	240	84	195	301	131
map00051	355	187	358	458	169
map00052	259	128	262	216	140
map00053	96	103	97	192	64
map00061	139	289	158	204	152
map00071	131	501	252	158	210
map00130	84	132	120	175	77
map00190	279	295	292	384	468
map00195	83	90	93	73	96
map00220	198	269	205	276	113
map00230	568	650	524	709	490
map00232	2	14	3	0	3
map00240	342	416	338	503	283
map00250	298	421	331	378	225
map00253	1	1	1	0	0
map00260	352	606	343	471	284
map00261	74	114	71	141	70
map00270	320	416	364	549	303
map00280	156	543	346	159	300
map00290	134	195	147	168	136
map00300	179	224	181	240	133
map00310	115	323	213	163	145
map00311	16	51	35	2	15
map00330	167	390	258	366	194
map00332	31	40	30	24	18
map00333	85	134	85	78	53
map00340	208	260	214	205	143
map00350	112	333	219	177	127
map00360	87	396	264	129	165
map00361	14	44	21	58	39
map00362	97	337	248	136	182
map00364	7	13	2	34	26
map00380	125	347	234	141	200
map00400	239	311	266	324	205
map00401	57	91	68	69	35
map00405	32	61	45	28	19
map00410	57	223	149	135	65
map00430	36	57	54	58	35
map00440	18	11	37	87	21
map00450	109	150	99	155	131
map00460	63	55	103	115	97
map00470	102	178	103	154	115
map00480	97	113	119	252	202
map00500	368	141	413	552	245
map00510	10	10	11	3	13
map00511	93	0	54	20	62
map00513	16	0	9	8	9
map00514	10	11	9	0	7
map00515	10	11	9	0	7
map00520	481	344	441	529	342
map00521	145	102	131	160	58
map00523	57	16	48	62	17
map00524	37	19	41	37	12
map00525	35	15	29	27	12
map00531	54	12	27	17	24
map00541	222	151	198	209	147
map00542	10	18	10	12	0
map00543	25	33	30	88	35
map00550	191	204	195	247	217
map00552	41	84	85	35	21
map00561	196	160	146	194	73
map00562	88	86	90	182	63
map00564	164	175	159	237	149
map00565	10	8	10	13	0
map00572	21	18	16	11	0
map00590	7	11	4	18	6
map00592	11	34	31	28	18
map00600	62	3	39	22	37
map00603	33	0	19	10	13
map00604	16	0	9	8	9
map00620	390	692	488	566	370
map00621	7	11	3	12	15
map00622	14	39	27	18	16
map00623	8	29	24	29	25
map00624	2	19	19	3	12
map00625	68	168	86	110	52
map00626	41	73	46	51	24
map00627	26	134	80	67	73
map00630	326	575	419	362	307
map00633	3	7	5	43	2
map00640	177	338	283	256	213
map00643	20	115	57	26	46
map00650	172	541	280	300	270
map00660	70	137	94	123	85
map00670	121	153	120	136	126
map00680	274	288	262	365	145
map00710	159	124	164	263	141
map00720	230	340	253	244	279
map00730	123	166	79	144	116
map00740	86	138	112	206	94
map00750	77	96	70	92	62
map00760	179	251	218	245	159
map00770	145	271	180	231	165
map00780	86	186	93	210	115
map00785	28	30	29	27	20
map00790	185	213	240	256	249
map00791	20	21	9	67	0
map00830	39	80	49	41	24
map00860	168	175	168	223	276
map00900	202	301	229	156	133
map00906	31	30	23	48	56
map00907	12	105	61	61	50
map00908	10	10	10	11	10
map00910	131	146	110	167	92
map00920	164	179	160	367	192
map00930	24	73	43	50	52
map00944	11	0	1	0	0
map00946	47	9	104	48	61
map00950	30	77	53	42	23
map00960	50	103	64	64	29
map00966	19	20	21	23	20
map00970	262	318	255	252	250
map00980	40	72	45	101	95
map00981	13	60	26	29	13
map00982	40	82	54	103	104
map00983	142	162	151	185	150
map00984	10	18	6	1	0
map00997	12	9	2	19	1
map00998	17	13	23	47	13
map00999	54	38	107	71	82
map01040	21	23	24	27	31
map01051	52	27	41	47	10
map01052	2	5	11	0	0
map01053	9	14	16	68	7
map01054	6	9	2	11	1
map01055	12	16	18	12	6
map01057	1	19	2	0	0
map01059	2	11	8	1	2
map01200	1000	1274	1163	1198	908
map01210	286	384	299	356	213
map01212	187	563	282	264	280
map01220	105	274	185	146	88
map01230	1259	1485	1339	1530	1033
map01232	453	488	408	561	394
map01240	1159	1530	1274	1476	1232
map01250	407	296	381	503	282
