accession	family	genus	species	fasta_obtained	json_obtained	eggnog_obtained	fasta_file_name
GCF_900100865.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp900100865	FALSE	FALSE	FALSE	NA
GCA_018402615.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp018402615	FALSE	FALSE	FALSE	NA
GCA_018402685.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp018402685	FALSE	FALSE	FALSE	NA
GCA_002333405.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp002333405	FALSE	FALSE	FALSE	NA
GCA_017854485.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp017854485	FALSE	FALSE	FALSE	NA
GCA_002390305.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp002390305	FALSE	FALSE	FALSE	NA
GCA_905182225.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp905182225	FALSE	FALSE	FALSE	NA
GCF_000257665.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp000257665	FALSE	FALSE	FALSE	NA
GCA_002478545.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp002478545	FALSE	FALSE	FALSE	NA
GCA_009923455.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp009923455	FALSE	FALSE	FALSE	NA
GCA_002479805.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp002479805	FALSE	FALSE	FALSE	NA
GCF_013283855.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna borgnonia	FALSE	FALSE	FALSE	NA
GCA_009704945.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp009704945	FALSE	FALSE	FALSE	NA
GCA_003149555.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp003149555	FALSE	FALSE	FALSE	NA
GCA_016780945.1	f__Microbacteriaceae	g__Aquiluna	s__Aquiluna sp016780945	FALSE	FALSE	FALSE	NA
GCA_009704605.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009704605	FALSE	FALSE	FALSE	NA
GCA_009703455.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009703455	FALSE	FALSE	FALSE	NA
GCA_009702645.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009702645	FALSE	FALSE	FALSE	NA
GCA_009703635.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009703635	FALSE	FALSE	FALSE	NA
GCA_903834635.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903834635	FALSE	FALSE	FALSE	NA
GCA_009703845.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009703845	FALSE	FALSE	FALSE	NA
GCA_903935175.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903935175	FALSE	FALSE	FALSE	NA
GCA_903824455.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903824455	FALSE	FALSE	FALSE	NA
GCA_903880095.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903880095	FALSE	FALSE	FALSE	NA
GCA_009698805.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009698805	FALSE	FALSE	FALSE	NA
GCA_903820955.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903820955	FALSE	FALSE	FALSE	NA
GCA_903927775.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903927775	FALSE	FALSE	FALSE	NA
GCA_903887175.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903887175	FALSE	FALSE	FALSE	NA
GCA_903929105.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903929105	FALSE	FALSE	FALSE	NA
GCA_903893675.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903893675	FALSE	FALSE	FALSE	NA
GCA_903909605.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903909605	FALSE	FALSE	FALSE	NA
GCA_017983965.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp017983965	FALSE	FALSE	FALSE	NA
GCA_009702455.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009702455	FALSE	FALSE	FALSE	NA
GCA_903831585.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903831585	FALSE	FALSE	FALSE	NA
GCF_001854225.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna planktonica	FALSE	FALSE	FALSE	NA
GCF_000699505.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna lacicola	FALSE	FALSE	FALSE	NA
GCA_009703465.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009703465	FALSE	FALSE	FALSE	NA
GCF_005845365.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna limnophila	FALSE	FALSE	FALSE	NA
GCA_903866485.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903866485	FALSE	FALSE	FALSE	NA
GCA_009703445.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009703445	FALSE	FALSE	FALSE	NA
GCA_017984715.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp017984715	FALSE	FALSE	FALSE	NA
GCA_903853515.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903853515	FALSE	FALSE	FALSE	NA
GCA_903922825.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903922825	FALSE	FALSE	FALSE	NA
GCA_002342255.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp002342255	FALSE	FALSE	FALSE	NA
GCA_010028615.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp010028615	FALSE	FALSE	FALSE	NA
GCA_009921165.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009921165	FALSE	FALSE	FALSE	NA
GCA_009702405.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009702405	FALSE	FALSE	FALSE	NA
GCA_903832875.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp903832875	FALSE	FALSE	FALSE	NA
GCA_009927245.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp009927245	FALSE	FALSE	FALSE	NA
GCA_016462375.1	f__Microbacteriaceae	g__Rhodoluna	s__Rhodoluna sp016462375	FALSE	FALSE	FALSE	NA
GCF_000423505.1	f__Microbacteriaceae	g__Pseudoclavibacter_A	s__Pseudoclavibacter_A soli	FALSE	FALSE	FALSE	NA
GCF_008831125.1	f__Microbacteriaceae	g__Pseudoclavibacter_A	s__Pseudoclavibacter_A caeni	FALSE	FALSE	FALSE	NA
GCF_008831235.1	f__Microbacteriaceae	g__Pseudoclavibacter_A	s__Pseudoclavibacter_A sp008831235	FALSE	FALSE	FALSE	NA
GCA_002391425.1	f__Microbacteriaceae	g__UBA3913	s__UBA3913 sp002391425	FALSE	FALSE	FALSE	NA
GCA_015654475.1	f__Microbacteriaceae	g__UBA3913	s__UBA3913 sp015654475	FALSE	FALSE	FALSE	NA
GCA_019115685.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus pullicola	FALSE	FALSE	FALSE	NA
GCF_900163565.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus casei	FALSE	FALSE	FALSE	NA
GCF_005484985.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus sp005484985	FALSE	FALSE	FALSE	NA
GCF_007679035.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus jejuensis_A	FALSE	FALSE	FALSE	NA
GCF_900099705.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus jejuensis	FALSE	FALSE	FALSE	NA
GCF_014645235.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus terreus	FALSE	FALSE	FALSE	NA
GCF_003752465.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus jenensis	FALSE	FALSE	FALSE	NA
GCF_007923295.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus sediminis	FALSE	FALSE	FALSE	NA
GCF_000425105.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus lahaulensis	FALSE	FALSE	FALSE	NA
GCF_000400485.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus pavilionensis	FALSE	FALSE	FALSE	NA
GCF_018308945.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus sp018308945	FALSE	FALSE	FALSE	NA
GCF_900104705.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus carbonis	FALSE	FALSE	FALSE	NA
GCF_900117395.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus sp900117395	FALSE	FALSE	FALSE	NA
GCA_007988785.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus baldri_A	FALSE	FALSE	FALSE	NA
GCA_900114805.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus baldri	FALSE	FALSE	FALSE	NA
GCF_017168255.1	f__Microbacteriaceae	g__Agrococcus	s__Agrococcus sp017168255	FALSE	FALSE	FALSE	NA
GCF_904848455.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter sp904848455	FALSE	FALSE	FALSE	NA
GCA_012719255.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter sp012719255	FALSE	FALSE	FALSE	NA
GCF_003865375.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter macacae	FALSE	FALSE	FALSE	NA
GCF_900163695.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter sp900163695	FALSE	FALSE	FALSE	NA
GCF_000425685.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter molinativorax	FALSE	FALSE	FALSE	NA
GCF_008831155.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter chungangensis	FALSE	FALSE	FALSE	NA
GCF_001570925.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter bifidus	FALSE	FALSE	FALSE	NA
GCF_000381765.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter faecalis	FALSE	FALSE	FALSE	NA
GCF_900626105.1	f__Microbacteriaceae	g__Gulosibacter	s__Gulosibacter sp900626105	FALSE	FALSE	FALSE	NA
GCA_910822395.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp910822395	FALSE	FALSE	FALSE	NA
GCF_001570905.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter alba	FALSE	FALSE	FALSE	NA
GCF_002931055.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931055	FALSE	FALSE	FALSE	NA
GCF_002931555.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931555	FALSE	FALSE	FALSE	NA
GCF_008831075.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter terrae	FALSE	FALSE	FALSE	NA
GCF_002931075.1	f__Microbacteriaceae	g__Pseudoclavibacter	s__Pseudoclavibacter sp002931075	FALSE	FALSE	FALSE	NA
