Bin Id	# unique markers (of 43)	# multi-copy	Taxonomy
flye_asm_1Dt100g_part2	41	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
flye_asm_1Dt100h_part2	42	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales
flye_asm_1Dt1h_part2	42	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium
flye_asm_1Dt2d_part2	43	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Pantoea
flye_asm_2Dt1e_part2	32	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae
flye_asm_2Dt1l_part2	42	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
flye_asm_3Dt1c_part2	43	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
flye_asm_3Dt2c_part2	43	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
flye_asm_3Dt2h_part2	42	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium
flye_asm_3Dt2j_part2	43	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
