accession	ko_id	map_id
GCF_011927955.1	K15371	map00430
GCF_011927955.1	K15371	map00220
GCF_011927955.1	K15371	map00910
GCF_011927955.1	K15371	map00250
GCF_011927955.1	K00265	map00910
GCF_011927955.1	K00265	map00250
GCF_011927955.1	K00265	map01230
GCF_011927955.1	K03046	map03020
GCF_011927955.1	K00164	map00020
GCF_011927955.1	K00164	map01200
GCF_011927955.1	K01616	map00020
GCF_011927955.1	K01616	map00630
GCF_011927955.1	K01616	map01200
GCF_011927955.1	K03723	map03420
GCF_011927955.1	K02337	map03430
GCF_011927955.1	K02337	map03030
GCF_011927955.1	K02337	map03440
GCF_011927955.1	K02337	map03430
GCF_011927955.1	K02337	map03030
GCF_011927955.1	K02337	map03440
GCF_011927955.1	K03043	map03020
GCF_011927955.1	K13821	map00250
GCF_011927955.1	K13821	map00330
GCF_011927955.1	K01958	map00020
GCF_011927955.1	K01958	map00720
GCF_011927955.1	K01958	map00620
GCF_011927955.1	K01958	map01230
GCF_011927955.1	K01958	map01200
GCF_011927955.1	K01955	map00250
GCF_011927955.1	K01955	map00240
GCF_011927955.1	K01955	map01240
GCF_011927955.1	K01870	map00970
GCF_011927955.1	K02343	map03430
GCF_011927955.1	K02343	map03030
GCF_011927955.1	K02343	map03440
GCF_011927955.1	K03657	map03430
GCF_011927955.1	K03657	map03420
GCF_011927955.1	K18930	map00620
GCF_011927955.1	K08300	map03018
GCF_011927955.1	K00302	map00260
GCF_011927955.1	K00281	map00630
GCF_011927955.1	K00281	map00260
GCF_011927955.1	K00281	map01200
GCF_011927955.1	K00283	map00630
GCF_011927955.1	K00283	map00260
GCF_011927955.1	K00283	map01200
GCF_011927955.1	K01869	map00970
GCF_011927955.1	K18930	map00620
GCF_011927955.1	K00943	map00240
GCF_011927955.1	K00943	map01232
GCF_011927955.1	K00123	map00630
GCF_011927955.1	K00123	map00680
GCF_011927955.1	K00123	map01200
GCF_011927955.1	K03701	map03420
GCF_011927955.1	K01584	map00330
GCF_011927955.1	K01256	map00480
GCF_011927955.1	K00163	map00020
GCF_011927955.1	K00163	map00010
GCF_011927955.1	K00163	map00620
GCF_011927955.1	K00163	map01200
GCF_011927955.1	K00163	map00020
GCF_011927955.1	K00163	map00010
GCF_011927955.1	K00163	map00620
GCF_011927955.1	K00163	map01200
GCF_011927955.1	K03070	map03060
GCF_011927955.1	K03070	map03070
GCF_011927955.1	K03070	map02024
GCF_011927955.1	K01434	map00311
GCF_011927955.1	K01681	map00020
GCF_011927955.1	K01681	map01210
GCF_011927955.1	K01681	map00630
GCF_011927955.1	K01681	map00720
GCF_011927955.1	K01681	map01230
GCF_011927955.1	K01681	map01200
GCF_011927955.1	K01087	map00500
GCF_011927955.1	K02335	map03410
GCF_011927955.1	K02335	map03420
GCF_011927955.1	K02335	map03030
GCF_011927955.1	K02335	map03440
GCF_011927955.1	K01256	map00480
GCF_011927955.1	K01007	map00010
GCF_011927955.1	K01007	map00720
GCF_011927955.1	K01007	map00620
GCF_011927955.1	K01007	map00680
GCF_011927955.1	K01007	map01200
GCF_011927955.1	K01872	map00970
GCF_011927955.1	K01873	map00970
GCF_011927955.1	K01081	map00760
GCF_011927955.1	K01081	map00240
GCF_011927955.1	K01081	map01232
GCF_011927955.1	K01081	map00230
GCF_011927955.1	K03657	map03430
GCF_011927955.1	K03657	map03420
GCF_011927955.1	K03695	map04213
GCF_011927955.1	K01890	map00970
GCF_011927955.1	K01971	map03450
GCF_011927955.1	K10747	map03410
GCF_011927955.1	K10747	map03430
GCF_011927955.1	K10747	map03420
GCF_011927955.1	K10747	map03030
GCF_011927955.1	K01354	map05143
GCF_011927955.1	K01354	map05142
GCF_011927955.1	K03701	map03420
GCF_011927955.1	K13482	map01232
GCF_011927955.1	K13482	map00230
GCF_011927955.1	K03701	map03420
GCF_011927955.1	K02492	map00860
GCF_011927955.1	K02492	map01240
GCF_011927955.1	K01923	map00230
GCF_011927955.1	K01945	map00230
GCF_011927955.1	K01952	map00230
GCF_011927955.1	K00951	map00230
GCF_011927955.1	K01139	map00230
GCF_011927955.1	K17686	map04978
GCF_011927955.1	K17686	map01524
GCF_011927955.1	K17686	map04016
GCF_011927955.1	K03418	map00630
GCF_011927955.1	K03070	map03060
GCF_011927955.1	K03070	map03070
GCF_011927955.1	K03070	map02024
GCF_011927955.1	K00031	map05230
GCF_011927955.1	K00031	map00480
GCF_011927955.1	K00031	map00020
GCF_011927955.1	K00031	map04146
GCF_011927955.1	K00031	map01210
GCF_011927955.1	K00031	map00720
GCF_011927955.1	K00031	map01230
GCF_011927955.1	K00031	map01200
GCF_011927955.1	K01322	map04614
GCF_011927955.1	K01972	map03410
GCF_011927955.1	K01972	map03430
GCF_011927955.1	K01972	map03420
GCF_011927955.1	K01972	map03030
GCF_011927955.1	K00962	map03018
GCF_011927955.1	K03782	map00940
GCF_011927955.1	K03782	map00983
GCF_011927955.1	K03782	map00360
GCF_011927955.1	K03782	map00380
GCF_011927955.1	K17686	map04978
GCF_011927955.1	K17686	map01524
GCF_011927955.1	K17686	map04016
GCF_011927955.1	K17686	map04978
GCF_011927955.1	K17686	map01524
GCF_011927955.1	K17686	map04016
GCF_011927955.1	K01782	map00930
GCF_011927955.1	K01782	map00907
GCF_011927955.1	K01782	map00410
GCF_011927955.1	K01782	map00071
GCF_011927955.1	K01782	map00280
GCF_011927955.1	K01782	map00380
GCF_011927955.1	K01782	map01212
GCF_011927955.1	K01782	map00640
GCF_011927955.1	K01782	map00310
GCF_011927955.1	K01782	map00362
GCF_011927955.1	K01782	map00650
GCF_011927955.1	K01782	map01200
GCF_011927955.1	K03072	map03060
