accession	domain	phylum	class	order	family	genus	species	cutacc	assembly_status	refseq_category	taxonomy_check_status	match_status	completeness	completeness_percentile	contamination	geo_loc_name	lat_lon	host	isolation_source	sample_type
GB_GCA_003248605.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003248605	GCA_003248605.1	current	NA	OK	genus_match	91.38	54.6875	1.45	USA: Pittsburgh, Pennsylvania Magee Womens Hospital	40.43682860 N 79.96068800 W	NA	hospital NICU surfaces and sink samples	ncbi
GB_GCA_003476465.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003476465	GCA_003476465.1	current	NA	Inconclusive	low_coverage	NA	NA	NA	not applicable	NA	NA	hydrocarbon	ncbi
RS_GCF_002812725.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002812725	GCF_002812725.1	current	NA	OK	genus_match	97.79	100	4.81	Switzerland: Birsfelden	NA	NA	activated sludge	ncbi
RS_GCF_002812805.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lacus	GCF_002812805.1	current	NA	Inconclusive	below_threshold_mismatch	99.02	100	1.46	Germany: Juelich	NA	NA	typic Hapludalf soil	ncbi
RS_GCF_006715145.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715145	GCF_006715145.1	current	NA	OK	genus_match	98.96	100	2.09	USA: California	38.5376 N 121.7644 W	not applicable	missing	ncbi
RS_GCF_013409465.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium pumilum	GCF_013409465.1	suppressed	NA	NA	NA	NA	NA	NA	missing	missing	not applicable	missing	suppressed
RS_GCF_001427525.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001427525	GCF_001427525.1	current	NA	OK	genus_match	98.99	100	2.5	Germany:Cologne	50.958 N 6.856 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_003991875.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lemovicicum	GCF_003991875.1	current	reference genome	OK	species_match	98	66.666664	2.59	France	NA	NA	natural uranium-rich soil	reference
RS_GCF_008710745.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium rhizomatis	GCF_008710745.1	current	reference genome	OK	below_threshold_mismatch	98.93	100	4.05	Missing	NA	NA	environmental	reference
GB_GCA_018895315.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018895315	GCA_018895315.1	current	NA	Inconclusive	below_threshold_lineage_match	NA	NA	NA	Finland	61.1431 N 21.2923 E	NA	Olkiluoto	ncbi
RS_GCF_900100885.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium pygmaeum	GCF_900100885.1	current	reference genome	OK	below_threshold_mismatch	99.11	100	1.09	missing	missing	NA	NA	reference
RS_GCF_013408285.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013408285	GCF_013408285.1	suppressed	NA	NA	NA	NA	NA	NA	USA: California	38.5376 N 121.7644 W	not applicable	missing	suppressed
GB_GCA_011620715.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp011620715	GCA_011620715.1	current	NA	OK	genus_match	93.88	61.71875	0.95	Germany: Wietze	52.659353 N 9.832481 E	NA	oil-contaminated soil	ncbi
RS_GCF_900114345.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900114345	GCF_900114345.1	current	NA	OK	genus_match	99.2	100	1.1	missing	missing	NA	NA	ncbi
RS_GCF_000304335.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium yannicii_A	GCF_000304335.1	current	NA	Inconclusive	below_threshold_mismatch	96.49	25	0.24	NA	NA	NA	NA	ncbi
RS_GCF_012524205.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp012524205	GCF_012524205.1	current	reference genome	OK	below_threshold_mismatch	98.89	100	1.63	China:Yuncheng	NA	NA	salt lake	reference
RS_GCF_004010105.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004010105	GCF_004010105.1	current	NA	OK	genus_match	92.96	100	2.03	China: Xinjiang	39.36 N 101.51 E	NA	NA	ncbi
RS_GCF_015277855.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015277855	GCF_015277855.1	current	reference genome	OK	below_threshold_mismatch	98.75	100	1.19	China:Changyi Tamarix forest marine ecological reserve	NA	NA	Tamarix rhizosphere soil from marine environment	reference
RS_GCF_015277815.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015277815	GCF_015277815.1	current	reference genome	OK	below_threshold_mismatch	98.51	100	0.8	Atlantic Ocean	NA	NA	sediment from marine environment	reference
RS_GCF_000380605.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000380605	GCF_000380605.1	suppressed	NA	NA	NA	NA	NA	NA	Missing	Missing	NA	NA	suppressed
RS_GCF_014779795.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium helvum	GCF_014779795.1	current	reference genome	OK	below_threshold_mismatch	99.58	100	0.45	China: Shangzhi	NA	cow	cow dung	reference
RS_GCF_006783905.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium kyungheense	GCF_006783905.1	current	reference genome	OK	species_match	98.04	50	1.96	missing	missing	not applicable	missing	reference
RS_GCF_014873155.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014873155	GCF_014873155.1	suppressed	NA	NA	NA	NA	NA	NA	USA: Oklahoma	missing	not applicable	missing	suppressed
RS_GCF_000956465.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium trichothecenolyticum	GCF_000956465.1	current	reference genome	OK	below_threshold_mismatch	98.93	83.333336	1.55	missing	missing	NA	NA	reference
RS_GCF_001422925.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001422925	GCF_001422925.1	current	NA	OK	genus_match	98.93	100	3.21	Switzerland:Zurich	47.4816806 N 8.21754722 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_003386735.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium trichothecenolyticum_A	GCF_003386735.1	suppressed	NA	NA	NA	NA	NA	NA	Greece: Zakynthos Island	missing	not applicable	missing	suppressed
RS_GCF_009858275.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp009858275	GCF_009858275.1	suppressed	NA	NA	NA	NA	NA	NA	USA: California	36.6008 N 119.5108 W	not applicable	missing	suppressed
RS_GCF_010634855.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp010634855	GCF_010634855.1	current	NA	OK	genus_match	99.07	100	1.55	Germany: Hainich National Park	51.1109 N 10.42208 E	NA	NA	ncbi
RS_GCF_015278355.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium yannicii_B	GCF_015278355.1	current	NA	OK	species_match	98.9	75	2.04	Germany	NA	Arabidopsis thaliana	surface-sterilized roots	ncbi
RS_GCF_015278255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hibisci	GCF_015278255.1	current	reference genome	OK	below_threshold_mismatch	96.49	100	1.46	South Korea	NA	NA	soil	reference
RS_GCF_015278315.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ureisolvens	GCF_015278315.1	current	reference genome	OK	below_threshold_mismatch	98.72	100	4.16	China	NA	NA	sediment	reference
RS_GCF_900292075.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium timonense	GCF_900292075.1	current	reference genome	OK	below_threshold_mismatch	98.93	100	0.71	NA	NA	NA	skin	reference
RS_GCF_001428485.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001428485	GCF_001428485.1	current	NA	OK	genus_match	98.57	100	NA	Germany:Cologne	50.958 N 6.856 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_012847295.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp012847295	GCF_012847295.1	current	NA	OK	genus_match	98.75	100	NA	China: Shantou, Guangodng	NA	NA	air in sports field	ncbi
RS_GCF_016907635.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium insulae	GCF_016907635.1	suppressed	NA	NA	NA	NA	NA	NA	missing	missing	not applicable	missing	suppressed
RS_GCF_014837165.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014837165	GCF_014837165.1	current	reference genome	OK	below_threshold_mismatch	98.39	100	0.71	United Kingdom: Norwich	NA	Gallus gallus	NA	reference
RS_GCF_018588945.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium flavescens	GCF_018588945.1	current	reference genome	OK	below_threshold_mismatch	98.39	100	1.28	unknown	NA	NA	soil	reference
RS_GCF_001427145.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001427145	GCF_001427145.1	current	NA	OK	genus_match	98.51	100	0.83	Germany:Cologne	50.958 N 6.856 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_003999995.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003999995	GCF_003999995.1	current	reference genome	OK	below_threshold_mismatch	98.75	100	0.36	China: Xinjiang Province	NA	NA	soil	reference
RS_GCF_005502885.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp005502885	GCF_005502885.1	current	NA	OK	genus_match	97.68	100	3.04	Italy: Trento	46.01 N 10.52 E	NA	alpine spring water	ncbi
RS_GCF_013409015.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013409015	GCF_013409015.1	suppressed	NA	NA	NA	NA	NA	NA	USA: Nebraska	41.2 N 96.7 W	not applicable	missing	suppressed
RS_GCF_014208045.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium thalassium	GCF_014208045.1	current	reference genome	OK	species_match	98.93	100	3.23	Japan	missing	not applicable	missing	reference
RS_GCF_013282805.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hominis_B	GCF_013282805.1	current	NA	Inconclusive	below_threshold_mismatch	96.89	37.5	1.5	South Korea: Jeollabuk-do	35.50 N 126.49 E	Perinereis linea	intestinal content	ncbi
RS_GCF_017831975.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium terrae	GCF_017831975.1	current	reference genome	OK	species_match	99.11	100	0.71	missing	missing	not applicable	missing	reference
RS_GCF_004362195.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004362195	GCF_004362195.1	current	NA	OK	genus_match	98.69	100	0.24	missing	missing	not applicable	missing	ncbi
RS_GCF_006715675.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715675	GCF_006715675.1	suppressed	NA	NA	NA	NA	NA	NA	USA: California	38.5376 N 121.7644 W	not applicable	missing	suppressed
RS_GCF_011046485.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp011046485	GCF_011046485.1	current	NA	OK	genus_match	95.76	100	1.58	South Korea: Anseong	NA	NA	ginseng cultivating soil	ncbi
RS_GCF_011759705.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ulmi	GCF_011759705.1	current	reference genome	OK	species_match	98.04	66.666664	2.95	missing	missing	not applicable	missing	reference
RS_GCF_900155915.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900155915	GCF_900155915.1	current	NA	OK	genus_match	99.2	100	1.34	missing	missing	not applicable	missing	ncbi
RS_GCF_013409785.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium immunditiarum	GCF_013409785.1	current	reference genome	OK	below_threshold_mismatch	98.6	100	3.24	missing	missing	not applicable	missing	reference
RS_GCF_013410955.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013410955	GCF_013410955.1	current	NA	OK	genus_match	98.12	100	1.12	missing	missing	not applicable	missing	ncbi
RS_GCF_003850245.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003850245	GCF_003850245.1	current	NA	OK	genus_match	97.74	100	0.89	South Korea	NA	NA	freshwater	ncbi
RS_GCF_006715565.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715565	GCF_006715565.1	current	NA	OK	genus_match	98.33	100	0.83	USA: California	38.5376 N 121.7644 W	not applicable	missing	ncbi
RS_GCF_015565955.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium schleiferi	GCF_015565955.1	current	NA	Inconclusive	below_threshold_match	84.71	16.666666	1.54	China: West Pacific	NA	not collected	missing	ncbi
GB_GCA_001898325.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001898325	GCA_001898325.1	current	NA	OK	genus_match	98.1	100	3.19	South Africa: University of Cape Town	33.9575 S 18.4606 E	NA	Thiocyanate stock bioreactor	ncbi
GB_GCA_002313585.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002313585	GCA_002313585.1	current	NA	OK	genus_match	98.16	100	1.89	missing	NA	NA	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	ncbi
