accession	ko_id	map_id
GCA_004173185.1	K15371	map00430
GCA_004173185.1	K15371	map00220
GCA_004173185.1	K15371	map00910
GCA_004173185.1	K15371	map00250
GCA_004173185.1	K00265	map00910
GCA_004173185.1	K00265	map00250
GCA_004173185.1	K00265	map01230
GCA_004173185.1	K03723	map03420
GCA_004173185.1	K02337	map03430
GCA_004173185.1	K02337	map03030
GCA_004173185.1	K02337	map03440
GCA_004173185.1	K01955	map00250
GCA_004173185.1	K01955	map00240
GCA_004173185.1	K01955	map01240
GCA_004173185.1	K18138	map01503
GCA_004173185.1	K18138	map01501
GCA_004173185.1	K18138	map01503
GCA_004173185.1	K18138	map01501
GCA_004173185.1	K13821	map00250
GCA_004173185.1	K13821	map00330
GCA_004173185.1	K00164	map00020
GCA_004173185.1	K00164	map01200
GCA_004173185.1	K01870	map00970
GCA_004173185.1	K00302	map00260
GCA_004173185.1	K02335	map03410
GCA_004173185.1	K02335	map03420
GCA_004173185.1	K02335	map03030
GCA_004173185.1	K02335	map03440
GCA_004173185.1	K00990	map02020
GCA_004173185.1	K08300	map03018
GCA_004173185.1	K03070	map03060
GCA_004173185.1	K03070	map03070
GCA_004173185.1	K03070	map02024
GCA_004173185.1	K01873	map00970
GCA_004173185.1	K01595	map00710
GCA_004173185.1	K01595	map00720
GCA_004173185.1	K01595	map00620
GCA_004173185.1	K01595	map00680
GCA_004173185.1	K01595	map01200
GCA_004173185.1	K01681	map00020
GCA_004173185.1	K01681	map01210
GCA_004173185.1	K01681	map00630
GCA_004173185.1	K01681	map00720
GCA_004173185.1	K01681	map01230
GCA_004173185.1	K01681	map01200
GCA_004173185.1	K01872	map00970
GCA_004173185.1	K01006	map00710
GCA_004173185.1	K01006	map00010
GCA_004173185.1	K01006	map00720
GCA_004173185.1	K01006	map00620
GCA_004173185.1	K01006	map01200
GCA_004173185.1	K07646	map02020
GCA_004173185.1	K00548	map00450
GCA_004173185.1	K00548	map00670
GCA_004173185.1	K00548	map00270
GCA_004173185.1	K00548	map01230
GCA_004173185.1	K07347	map05133
GCA_004173185.1	K01256	map00480
GCA_004173185.1	K03695	map04213
GCA_004173185.1	K03555	map03430
GCA_004173185.1	K05366	map00550
GCA_004173185.1	K05366	map01501
GCA_004173185.1	K01869	map00970
GCA_004173185.1	K01971	map03450
GCA_004173185.1	K20530	map02024
GCA_004173185.1	K05349	map00946
GCA_004173185.1	K05349	map00460
GCA_004173185.1	K05349	map00999
GCA_004173185.1	K05349	map00500
GCA_004173185.1	K13587	map04112
GCA_004173185.1	K13587	map02020
GCA_004173185.1	K03205	map03070
GCA_004173185.1	K01890	map00970
GCA_004173185.1	K01338	map04112
GCA_004173185.1	K05349	map00946
GCA_004173185.1	K05349	map00460
GCA_004173185.1	K05349	map00999
GCA_004173185.1	K05349	map00500
GCA_004173185.1	K14986	map02020
GCA_004173185.1	K01130	map00600
GCA_004173185.1	K01130	map00600
GCA_004173185.1	K03407	map02030
GCA_004173185.1	K03407	map02020
GCA_004173185.1	K13598	map02020
GCA_004173185.1	K03657	map03430
GCA_004173185.1	K03657	map03420
GCA_004173185.1	K02302	map00860
GCA_004173185.1	K02302	map01240
GCA_004173185.1	K02303	map00860
GCA_004173185.1	K02303	map01240
GCA_004173185.1	K13542	map00860
GCA_004173185.1	K13542	map01240
GCA_004173185.1	K03701	map03420
GCA_004173185.1	K13525	map05134
GCA_004173185.1	K13525	map04141
GCA_004173185.1	K13525	map05014
GCA_004173185.1	K13525	map05022
GCA_004173185.1	K01130	map00600
GCA_004173185.1	K12573	map03018
GCA_004173185.1	K08484	map02060
