#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_14	275317	390	N	N	1	*	*,14,*
contig_9	212459	356	N	N	1	*	*,9,*
contig_5	188889	396	N	N	1	*	*,5,*
contig_29	123931	348	N	N	1	*	*,29,*
contig_18	100700	400	N	N	1	*	*,18,*
contig_21	98656	274	N	N	1	*	*,21,*
contig_44	87478	328	N	N	1	*	*,44,*
contig_83	84494	338	N	N	1	*	*,83,*
contig_20	82821	338	N	N	1	*	*,20,*
contig_30	79521	308	N	N	1	*	*,30,*
contig_3	78699	318	N	N	1	*	*,3,*
contig_23	78233	314	N	N	1	*	*,23
contig_7	71936	451	N	N	1	*	*,7,*
contig_2	67210	269	N	N	1	*	*,2,*
contig_68	65021	299	N	N	1	*	*,68,*
contig_81	64367	266	N	N	1	*	*,81,*
contig_84	63365	314	N	N	1	*	*,84,*
contig_37	63098	242	N	N	1	*	*,37,*
contig_32	61091	295	N	N	1	*	*,32,*
contig_35	55788	328	N	N	1	*	*,35,*
contig_85	53395	672	Y	Y	2	*	85
contig_82	51977	283	N	N	1	*	*,82,*
contig_47	51054	298	N	N	1	*	*,47,*
contig_36	49677	322	N	N	1	*	*,36,*
contig_56	48745	257	N	N	1	*	*,56,*
contig_13	47993	342	N	N	1	*	*,13,*
contig_16	46717	343	N	N	1	*	*,16,*
contig_45	43139	228	N	N	1	*	*,45,*
contig_80	42094	335	N	N	1	*	80,*
contig_48	41520	265	N	N	1	*	*,48,*
contig_78	40597	325	N	N	1	*	*,78,*
contig_40	39410	379	N	N	1	*	*,40,*
contig_86	37384	265	N	N	1	*	*,86,*
contig_4	36732	167	N	N	1	*	*,4,*
contig_17	36377	252	N	N	1	*	*,17,*
contig_10	35262	321	N	N	1	*	*,10,*
contig_25	35223	312	N	N	1	*	25,*
contig_12	34799	274	N	N	1	*	*,12,*
contig_51	34664	223	N	N	1	*	*,51,*
contig_31	34205	266	N	N	1	*	*,31,*
contig_39	33827	254	N	N	1	*	*,39,*
contig_53	33627	329	N	N	1	*	*,53,*
contig_24	31663	306	N	N	1	*	*,24,*
contig_70	31443	131	N	N	1	*	*,70,*
contig_58	31326	987	N	Y	3	*	*,58,*
contig_50	30300	343	N	N	1	*	*,50,*
contig_34	28982	299	N	N	1	*	*,34,*
contig_59	28980	197	N	N	1	*	*,59,*
contig_62	28306	218	N	N	1	*	*,62,*
contig_26	26493	283	N	N	1	*	*,26,*
contig_55	24565	275	N	N	1	*	*,55,*
contig_27	24210	337	N	N	1	*	*,27,*
contig_42	23538	209	N	N	1	*	*,42,*
contig_1	22398	106	N	N	1	*	*,1,*
contig_60	20525	132	N	N	1	*	*,60,*
contig_11	19584	181	N	N	1	*	*,11,*
contig_66	18538	236	N	N	1	*	*,66,*
contig_64	18338	314	N	N	1	*	*,64,*
contig_6	17872	354	N	N	1	*	*,6,*
contig_15	17863	347	N	N	1	*	*,15,*
contig_38	16243	304	N	N	1	*	*,38,*
contig_19	16157	264	N	N	1	*	*,19,*
contig_72	15889	311	N	N	1	*	*,72,*
contig_41	15630	242	N	N	1	*	*,41,*
contig_73	15502	208	N	N	1	*	*,73,*
contig_65	15425	148	N	N	1	*	*,65,*
contig_46	14944	287	N	N	1	*	*,46,*
contig_49	13999	249	N	N	1	*	*,49,*
contig_28	12693	314	N	N	1	*	*,28,*
contig_8	12229	257	N	N	1	*	*,8,*
contig_43	11945	180	N	N	1	*	*,43,*
contig_63	11826	221	N	N	1	*	*,63,*
contig_54	11101	224	N	N	1	*	*,54,*
contig_67	10410	340	N	N	1	*	*,67,*
contig_71	10366	137	N	N	1	*	*,71,*
contig_33	9399	246	N	N	1	*	*,33,*
contig_74	8516	106	N	N	1	*	*,74,*
contig_52	8446	126	N	N	1	*	*,52,*
contig_77	7873	182	N	N	1	*	*,77,*
contig_69	7611	115	N	N	1	*	*,69,*
contig_75	7556	194	N	N	1	*	*,75,*
contig_61	7179	189	N	N	1	*	*,61,*
contig_22	5962	293	N	N	1	*	*,22,*
contig_57	4844	112	N	N	1	*	*,57,*
contig_76	4194	115	N	N	1	*	*,76,*
contig_79	3911	91	N	N	1	*	*,79,*
