#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_114	74994	333	N	N	1	*	*,114,*
contig_151	65875	450	Y	N	1	*	151
contig_139	50600	355	N	N	1	*	*,139,*
contig_150	46292	294	N	N	1	*	*,150,*
contig_83	37476	498	N	N	2	*	*,83,*
contig_130	37119	646	N	Y	2	*	*,130,*
contig_84	36156	540	N	N	2	*	*,84,*
contig_76	35689	331	N	N	1	*	*,76,*
contig_153	34844	297	Y	N	1	*	153
contig_101	34428	180	N	N	1	*	*,101,*
contig_116	33195	574	N	Y	2	*	*,116,*
contig_14	29874	320	N	N	1	*	*,14,*
contig_152	29516	191	N	N	1	*	*,152,*
contig_109	28717	580	N	Y	2	*	*,109,*
contig_80	27920	241	N	N	1	*	*,80,*
contig_26	26603	307	N	N	1	*	*,26,*
contig_62	25583	233	N	N	1	*	*,62,*
contig_125	25419	314	N	N	1	*	*,125,*
contig_140	24215	444	N	N	1	*	*,140,*
contig_78	23739	470	N	N	1	*	*,78,*
contig_95	23645	299	N	N	1	*	*,95,*
contig_136	23585	750	N	Y	2	*	*,136,*
contig_108	23175	329	N	N	1	*	*,108,*
contig_6	23103	304	N	N	1	*	*,6,*
contig_70	22560	348	N	N	1	*	*,70,*
contig_30	22124	260	N	N	1	*	*,30,*
contig_113	22028	281	N	N	1	*	*,113,*
contig_85	21416	596	N	Y	2	*	*,85,*
contig_33	20587	414	N	N	1	*	*,33,*
contig_102	20445	267	N	N	1	*	*,102,*
contig_68	20069	586	N	Y	2	*	*,68,*
contig_110	19596	579	N	Y	2	*	*,110,*
contig_96	18150	273	N	N	1	*	*,96,*
contig_66	18080	393	N	N	1	*	*,66,*
contig_138	18076	149	N	N	1	*	*,138,*
contig_42	18022	274	N	N	1	*	*,42,*
contig_132	17930	171	N	N	1	*	*,132,*
contig_69	17826	428	N	N	1	*	*,69,*
contig_8	17710	116	N	N	1	*	*,8,*
contig_129	17428	371	N	N	1	*	*,129,*
contig_117	17320	147	N	N	1	*	*,117,*
contig_81	17180	319	N	N	1	*	*,81,*
contig_111	17077	246	N	N	1	*	*,111,*
contig_133	16928	538	N	N	2	*	*,133,*
contig_107	16862	211	N	N	1	*	*,107,*
contig_92	16452	237	N	N	1	*	*,92,*
contig_39	16229	242	N	N	1	*	*,39,*
contig_91	16033	350	N	N	1	*	*,91,*
contig_79	15853	254	N	N	1	*	*,79,*
contig_148	15024	360	N	N	1	*	*,148,*
contig_17	14662	120	N	N	1	*	*,17,*
contig_142	14584	391	N	N	1	*	*,142,*
contig_11	14398	670	N	Y	2	*	*,11,*
contig_90	14002	180	N	N	1	*	*,90,*
contig_18	13922	633	N	Y	2	*	*,18,*
contig_34	13786	86	N	N	1	*	*,34,*
contig_99	13763	242	N	N	1	*	*,99,*
contig_29	13418	266	N	N	1	*	*,29,*
contig_41	13383	261	N	N	1	*	*,41,*
contig_2	13060	311	N	N	1	*	*,2,*
contig_31	12971	425	N	N	1	*	*,31,*
contig_23	12919	358	N	N	1	*	*,23,*
contig_72	12697	155	N	N	1	*	*,72,*
contig_147	12606	113	N	N	1	*	*,147,*
contig_118	12514	417	N	N	1	*	*,118,*
contig_36	12478	267	N	N	1	*	*,36,*
contig_93	12276	597	N	Y	2	*	*,93,*
contig_143	12080	109	N	N	1	*	*,143,*
contig_128	11768	191	N	N	1	*	*,128,*
contig_131	11577	157	N	N	1	*	*,131,*
contig_141	11539	299	N	N	1	*	*,141,*
contig_120	11442	398	N	N	1	*	*,120,*
contig_89	11339	262	N	N	1	*	*,89,*
contig_48	11324	129	N	N	1	*	*,48,*
contig_135	10804	322	N	N	1	*	*,135,*
contig_105	10654	95	N	N	1	*	*,105,*
contig_3	10487	153	N	N	1	*	*,3,*
contig_47	10051	138	N	N	1	*	*,47,*
contig_38	10024	213	N	N	1	*	*,38,*
contig_144	9411	329	N	N	1	*	*,144,*
contig_27	9349	386	N	N	1	*	*,27,*
contig_88	9280	99	N	N	1	*	*,88,*
contig_77	9148	412	N	N	1	*	*,77,*
contig_4	8897	190	N	N	1	*	*,4,*
contig_50	8856	391	N	N	1	*	*,50,*
contig_126	8825	149	N	N	1	*	*,126,*
contig_94	8769	228	N	N	1	*	*,94,*
contig_97	8757	595	N	Y	2	*	*,97,*
contig_43	8652	278	N	N	1	*	*,43,*
contig_67	8634	210	N	N	1	*	*,67,*
contig_146	8439	199	N	N	1	*	*,146,*
contig_22	8107	127	N	N	1	*	*,22,*
contig_16	7993	310	N	N	1	*	*,16,*
contig_19	7928	251	N	N	1	*	*,19,*
contig_55	7638	197	N	N	1	*	*,55,*
contig_82	7582	215	N	N	1	*	*,82,*
contig_98	7566	174	N	N	1	*	*,98,*
contig_59	7523	277	N	N	1	*	*,59,*
contig_15	7436	334	N	N	1	*	*,15,*
contig_63	7257	74	N	N	1	*	*,63,*
contig_58	7099	79	N	N	1	*	*,58,*
