accession	ko_id	map_id
3Dt1c	K15371	map00430
3Dt1c	K15371	map00220
3Dt1c	K15371	map00910
3Dt1c	K15371	map00250
3Dt1c	K00265	map00910
3Dt1c	K00265	map00250
3Dt1c	K00265	map01230
3Dt1c	K03046	map03020
3Dt1c	K03043	map03020
3Dt1c	K01406	map01503
3Dt1c	K02337	map03430
3Dt1c	K02337	map03030
3Dt1c	K02337	map03440
3Dt1c	K01469	map00480
3Dt1c	K03723	map03420
3Dt1c	K05939	map00071
3Dt1c	K05939	map00564
3Dt1c	K01192	map00511
3Dt1c	K01192	map04142
3Dt1c	K01955	map00250
3Dt1c	K01955	map00240
3Dt1c	K01955	map01240
3Dt1c	K01190	map00511
3Dt1c	K01190	map00600
3Dt1c	K01190	map00052
3Dt1c	K18138	map01503
3Dt1c	K18138	map01501
3Dt1c	K18138	map01503
3Dt1c	K18138	map01501
3Dt1c	K03723	map03420
3Dt1c	K13821	map00250
3Dt1c	K13821	map00330
3Dt1c	K05989	map00946
3Dt1c	K00164	map00020
3Dt1c	K00164	map01200
3Dt1c	K03701	map03420
3Dt1c	K01190	map00511
3Dt1c	K01190	map00600
3Dt1c	K01190	map00052
3Dt1c	K01870	map00970
3Dt1c	K18930	map00620
3Dt1c	K02335	map03410
3Dt1c	K02335	map03420
3Dt1c	K02335	map03030
3Dt1c	K02335	map03440
3Dt1c	K03070	map03060
3Dt1c	K03070	map03070
3Dt1c	K03070	map02024
3Dt1c	K08300	map03018
3Dt1c	K00548	map00450
3Dt1c	K00548	map00670
3Dt1c	K00548	map00270
3Dt1c	K00548	map01230
3Dt1c	K07646	map02020
3Dt1c	K01681	map00020
3Dt1c	K01681	map01210
3Dt1c	K01681	map00630
3Dt1c	K01681	map00720
3Dt1c	K01681	map01230
3Dt1c	K01681	map01200
3Dt1c	K01595	map00710
3Dt1c	K01595	map00720
3Dt1c	K01595	map00620
3Dt1c	K01595	map00680
3Dt1c	K01595	map01200
3Dt1c	K01006	map00710
3Dt1c	K01006	map00010
3Dt1c	K01006	map00720
3Dt1c	K01006	map00620
3Dt1c	K01006	map01200
3Dt1c	K01190	map00511
3Dt1c	K01190	map00600
3Dt1c	K01190	map00052
3Dt1c	K00990	map02020
3Dt1c	K01872	map00970
3Dt1c	K14205	map01503
3Dt1c	K14205	map05150
3Dt1c	K14205	map02020
3Dt1c	K03555	map03430
3Dt1c	K01192	map00511
3Dt1c	K01192	map04142
3Dt1c	K01256	map00480
3Dt1c	K05349	map00946
3Dt1c	K05349	map00460
3Dt1c	K05349	map00999
3Dt1c	K05349	map00500
3Dt1c	K03695	map04213
3Dt1c	K15408	map00190
3Dt1c	K05366	map00550
3Dt1c	K05366	map01501
3Dt1c	K01869	map00970
3Dt1c	K01338	map04112
3Dt1c	K00380	map00920
3Dt1c	K15408	map00190
3Dt1c	K00688	map04922
3Dt1c	K00688	map02026
3Dt1c	K00688	map04931
3Dt1c	K00688	map04910
3Dt1c	K00688	map04217
3Dt1c	K00688	map00500
