accession	ko_id	map_id
2Dt1l	K01081	map00760
2Dt1l	K01081	map00240
2Dt1l	K01081	map01232
2Dt1l	K01081	map00230
2Dt1l	K00265	map00910
2Dt1l	K00265	map00250
2Dt1l	K00265	map01230
2Dt1l	K03046	map03020
2Dt1l	K00164	map00020
2Dt1l	K00164	map01200
2Dt1l	K01616	map00020
2Dt1l	K01616	map00630
2Dt1l	K01616	map01200
2Dt1l	K13821	map00250
2Dt1l	K13821	map00330
2Dt1l	K03723	map03420
2Dt1l	K03043	map03020
2Dt1l	K02337	map03430
2Dt1l	K02337	map03030
2Dt1l	K02337	map03440
2Dt1l	K01081	map00760
2Dt1l	K01081	map00240
2Dt1l	K01081	map01232
2Dt1l	K01081	map00230
2Dt1l	K13821	map00250
2Dt1l	K13821	map00330
2Dt1l	K03657	map03430
2Dt1l	K03657	map03420
2Dt1l	K01958	map00020
2Dt1l	K01958	map00720
2Dt1l	K01958	map00620
2Dt1l	K01958	map01230
2Dt1l	K01958	map01200
2Dt1l	K01870	map00970
2Dt1l	K01955	map00250
2Dt1l	K01955	map00240
2Dt1l	K01955	map01240
2Dt1l	K03086	map02040
2Dt1l	K01191	map00511
2Dt1l	K00281	map00630
2Dt1l	K00281	map00260
2Dt1l	K00281	map01200
2Dt1l	K00283	map00630
2Dt1l	K00283	map00260
2Dt1l	K00283	map01200
2Dt1l	K03701	map03420
2Dt1l	K01681	map00020
2Dt1l	K01681	map01210
2Dt1l	K01681	map00630
2Dt1l	K01681	map00720
2Dt1l	K01681	map01230
2Dt1l	K01681	map01200
2Dt1l	K03070	map03060
2Dt1l	K03070	map03070
2Dt1l	K03070	map02024
2Dt1l	K01595	map00710
2Dt1l	K01595	map00720
2Dt1l	K01595	map00620
2Dt1l	K01595	map00680
2Dt1l	K01595	map01200
2Dt1l	K00163	map00020
2Dt1l	K00163	map00010
2Dt1l	K00163	map00620
2Dt1l	K00163	map01200
2Dt1l	K05989	map00946
2Dt1l	K01872	map00970
2Dt1l	K01434	map00311
2Dt1l	K02335	map03410
