accession	filename
GCA_001464615.1	GCA_001464615.1_Sphingomonadales_bacterium_Ga0077557_genomic.fna
GCA_001724425.1	GCA_001724425.1_ASM172442v1_genomic.fna
GCA_001897375.1	GCA_001897375.1_ASM189737v1_genomic.fna
GCA_001897945.1	GCA_001897945.1_ASM189794v1_genomic.fna
GCA_001898315.1	GCA_001898315.1_ASM189831v1_genomic.fna
GCA_001898325.1	GCA_001898325.1_ASM189832v1_genomic.fna
GCA_002083435.1	GCA_002083435.1_ASM208343v1_genomic.fna
GCA_002083475.1	GCA_002083475.1_ASM208347v1_genomic.fna
GCA_002083655.1	GCA_002083655.1_ASM208365v1_genomic.fna
GCA_002095305.1	GCA_002095305.1_ASM209530v1_genomic.fna
GCA_002257455.1	GCA_002257455.1_ASM225745v1_genomic.fna
GCA_002280555.1	GCA_002280555.1_ASM228055v1_genomic.fna
GCA_002280565.1	GCA_002280565.1_ASM228056v1_genomic.fna
GCA_002281485.1	GCA_002281485.1_ASM228148v1_genomic.fna
GCA_002281535.1	GCA_002281535.1_ASM228153v1_genomic.fna
GCA_002292295.1	GCA_002292295.1_ASM229229v1_genomic.fna
GCA_002313585.1	GCA_002313585.1_ASM231358v1_genomic.fna
GCA_002403415.1	GCA_002403415.1_ASM240341v1_genomic.fna
GCA_002434205.1	GCA_002434205.1_ASM243420v1_genomic.fna
GCA_002703245.1	GCA_002703245.1_ASM270324v1_genomic.fna
GCA_002707985.1	GCA_002707985.1_ASM270798v1_genomic.fna
GCA_002837415.1	GCA_002837415.1_ASM283741v1_genomic.fna
GCA_002863155.1	GCA_002863155.1_ASM286315v1_genomic.fna
GCA_003075315.1	GCA_003075315.1_ASM307531v1_genomic.fna
GCA_003240625.1	GCA_003240625.1_ASM324062v1_genomic.fna
GCA_003240755.1	GCA_003240755.1_ASM324075v1_genomic.fna
GCA_003243195.1	GCA_003243195.1_ASM324319v1_genomic.fna
GCA_003248605.1	GCA_003248605.1_ASM324860v1_genomic.fna
GCA_003248655.1	GCA_003248655.1_ASM324865v1_genomic.fna
GCA_003248845.1	GCA_003248845.1_ASM324884v1_genomic.fna
GCA_003476465.1	GCA_003476465.1_ASM347646v1_genomic.fna
GCA_003524435.1	GCA_003524435.1_ASM352443v1_genomic.fna
GCA_004173185.1	GCA_004173185.1_ASM417318v1_genomic.fna
GCA_004799495.1	GCA_004799495.1_ASM479949v1_genomic.fna
GCA_005773165.1	GCA_005773165.1_ASM577316v1_genomic.fna
GCA_006438735.1	GCA_006438735.1_ASM643873v1_genomic.fna
GCA_008868125.1	GCA_008868125.1_ASM886812v1_genomic.fna
GCA_011620665.1	GCA_011620665.1_ASM1162066v1_genomic.fna
GCA_011620715.1	GCA_011620715.1_ASM1162071v1_genomic.fna
GCA_012799425.1	GCA_012799425.1_ASM1279942v1_genomic.fna
GCA_013822915.1	GCA_013822915.1_ASM1382291v1_genomic.fna
GCA_014197265.1	GCA_014197265.1_ASM1419726v1_genomic.fna
GCA_014400405.1	GCA_014400405.1_ASM1440040v1_genomic.fna
GCA_015654575.1	GCA_015654575.1_ASM1565457v1_genomic.fna
GCA_015655255.1	GCA_015655255.1_ASM1565525v1_genomic.fna
GCA_016870695.1	GCA_016870695.1_JGI_2017-08-21_genomic.fna
GCA_016937575.1	GCA_016937575.1_ASM1693757v1_genomic.fna
GCA_017304125.1	GCA_017304125.1_ASM1730412v1_genomic.fna
GCA_017304615.1	GCA_017304615.1_ASM1730461v1_genomic.fna
GCA_017304635.1	GCA_017304635.1_ASM1730463v1_genomic.fna
GCA_017305435.1	GCA_017305435.1_ASM1730543v1_genomic.fna
GCA_017306305.1	GCA_017306305.1_ASM1730630v1_genomic.fna
GCA_017306415.1	GCA_017306415.1_ASM1730641v1_genomic.fna
