accession	ko_id	map_id
GCF_005280295.1	K15371	map00430
GCF_005280295.1	K15371	map00220
GCF_005280295.1	K15371	map00910
GCF_005280295.1	K15371	map00250
GCF_005280295.1	K00265	map00910
GCF_005280295.1	K00265	map00250
GCF_005280295.1	K00265	map01230
GCF_005280295.1	K11263	map00061
GCF_005280295.1	K11263	map00280
GCF_005280295.1	K11263	map01212
GCF_005280295.1	K11263	map00640
GCF_005280295.1	K11263	map00630
GCF_005280295.1	K11263	map00620
GCF_005280295.1	K11263	map01200
GCF_005280295.1	K00302	map00260
GCF_005280295.1	K03046	map03020
GCF_005280295.1	K00164	map00020
GCF_005280295.1	K00164	map01200
GCF_005280295.1	K01616	map00020
GCF_005280295.1	K01616	map00630
GCF_005280295.1	K01616	map01200
GCF_005280295.1	K03723	map03420
GCF_005280295.1	K02337	map03430
GCF_005280295.1	K02337	map03030
GCF_005280295.1	K02337	map03440
GCF_005280295.1	K13821	map00250
GCF_005280295.1	K13821	map00330
GCF_005280295.1	K03657	map03430
GCF_005280295.1	K03657	map03420
GCF_005280295.1	K03043	map03020
GCF_005280295.1	K02343	map03430
GCF_005280295.1	K02343	map03030
GCF_005280295.1	K02343	map03440
GCF_005280295.1	K08300	map03018
GCF_005280295.1	K01870	map00970
GCF_005280295.1	K01955	map00250
GCF_005280295.1	K01955	map00240
GCF_005280295.1	K01955	map01240
GCF_005280295.1	K00281	map00630
GCF_005280295.1	K00281	map00260
GCF_005280295.1	K00281	map01200
GCF_005280295.1	K00283	map00630
GCF_005280295.1	K00283	map00260
GCF_005280295.1	K00283	map01200
GCF_005280295.1	K06044	map00500
GCF_005280295.1	K03701	map03420
GCF_005280295.1	K01937	map00240
GCF_005280295.1	K01937	map01232
GCF_005280295.1	K01937	map01240
GCF_005280295.1	K01869	map00970
GCF_005280295.1	K00123	map00630
GCF_005280295.1	K00123	map00680
GCF_005280295.1	K00123	map01200
GCF_005280295.1	K01087	map00500
GCF_005280295.1	K00163	map00020
GCF_005280295.1	K00163	map00010
GCF_005280295.1	K00163	map00620
GCF_005280295.1	K00163	map01200
GCF_005280295.1	K01256	map00480
GCF_005280295.1	K03070	map03060
GCF_005280295.1	K03070	map03070
GCF_005280295.1	K03070	map02024
GCF_005280295.1	K01681	map00020
GCF_005280295.1	K01681	map01210
GCF_005280295.1	K01681	map00630
GCF_005280295.1	K01681	map00720
GCF_005280295.1	K01681	map01230
GCF_005280295.1	K01681	map01200
GCF_005280295.1	K02335	map03410
GCF_005280295.1	K02335	map03420
GCF_005280295.1	K02335	map03030
GCF_005280295.1	K02335	map03440
GCF_005280295.1	K01873	map00970
GCF_005280295.1	K01256	map00480
GCF_005280295.1	K01872	map00970
GCF_005280295.1	K03695	map04213
GCF_005280295.1	K03701	map03420
GCF_005280295.1	K01354	map05143
GCF_005280295.1	K01354	map05142
GCF_005280295.1	K01890	map00970
GCF_005280295.1	K01236	map00500
GCF_005280295.1	K02492	map00860
GCF_005280295.1	K02492	map01240
GCF_005280295.1	K00163	map00020
GCF_005280295.1	K00163	map00010
GCF_005280295.1	K00163	map00620
GCF_005280295.1	K00163	map01200
GCF_005280295.1	K01972	map03410
GCF_005280295.1	K01972	map03430
GCF_005280295.1	K01972	map03420
GCF_005280295.1	K01972	map03030
GCF_005280295.1	K00705	map00500
GCF_005280295.1	K01971	map03450
GCF_005280295.1	K10747	map03410
GCF_005280295.1	K10747	map03430
GCF_005280295.1	K10747	map03420
GCF_005280295.1	K10747	map03030
GCF_005280295.1	K01952	map00230
GCF_005280295.1	K01952	map00230
GCF_005280295.1	K00943	map00240
GCF_005280295.1	K00943	map01232
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K01081	map00760
GCF_005280295.1	K01081	map00240
GCF_005280295.1	K01081	map01232
GCF_005280295.1	K01081	map00230
GCF_005280295.1	K00951	map00230
GCF_005280295.1	K01139	map00230
GCF_005280295.1	K01214	map00500
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K03070	map03060
GCF_005280295.1	K03070	map03070
GCF_005280295.1	K03070	map02024
GCF_005280295.1	K03655	map03440
GCF_005280295.1	K00962	map03018
GCF_005280295.1	K04066	map03440
GCF_005280295.1	K01958	map00020
GCF_005280295.1	K01958	map00720
GCF_005280295.1	K01958	map00620
GCF_005280295.1	K01958	map01230
GCF_005280295.1	K01958	map01200
GCF_005280295.1	K00031	map05230
GCF_005280295.1	K00031	map00480
GCF_005280295.1	K00031	map00020
GCF_005280295.1	K00031	map04146
GCF_005280295.1	K00031	map01210
GCF_005280295.1	K00031	map00720
GCF_005280295.1	K00031	map01230
GCF_005280295.1	K00031	map01200
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K03657	map03430
GCF_005280295.1	K03657	map03420
GCF_005280295.1	K03072	map03060
GCF_005280295.1	K03072	map03070
GCF_005280295.1	K03702	map03420
GCF_005280295.1	K00700	map00500
GCF_005280295.1	K00525	map00240
GCF_005280295.1	K00525	map01232
GCF_005280295.1	K00525	map00230
GCF_005280295.1	K00937	map03018
GCF_005280295.1	K00937	map00190
GCF_005280295.1	K01473	map00330
GCF_005280295.1	K11263	map00061
GCF_005280295.1	K11263	map00280
GCF_005280295.1	K11263	map01212
GCF_005280295.1	K11263	map00640
GCF_005280295.1	K11263	map00630
GCF_005280295.1	K11263	map00620
GCF_005280295.1	K11263	map01200
GCF_005280295.1	K16147	map00500
GCF_005280295.1	K21833	map00260
GCF_005280295.1	K03628	map03018
GCF_005280295.1	K03654	map03018
GCF_005280295.1	K03657	map03430
GCF_005280295.1	K03657	map03420
GCF_005280295.1	K03654	map03018
GCF_005280295.1	K01473	map00330
GCF_005280295.1	K00615	map01051
GCF_005280295.1	K00615	map00710
GCF_005280295.1	K00615	map00030
GCF_005280295.1	K00615	map01230
GCF_005280295.1	K00615	map01200
GCF_005280295.1	K00022	map00930
GCF_005280295.1	K00022	map00062
GCF_005280295.1	K00022	map00907
GCF_005280295.1	K00022	map00071
GCF_005280295.1	K00022	map00280
GCF_005280295.1	K00022	map00380
GCF_005280295.1	K00022	map01212
GCF_005280295.1	K00022	map00310
GCF_005280295.1	K00022	map00650
GCF_005280295.1	K07514	map00930
GCF_005280295.1	K07514	map00410
GCF_005280295.1	K07514	map00071
GCF_005280295.1	K07514	map03320
GCF_005280295.1	K07514	map00280
GCF_005280295.1	K07514	map04146
GCF_005280295.1	K07514	map00380
GCF_005280295.1	K07514	map01212
GCF_005280295.1	K07514	map00627
GCF_005280295.1	K07514	map00640
GCF_005280295.1	K07514	map00310
GCF_005280295.1	K07514	map00650
GCF_005280295.1	K01895	map00640
GCF_005280295.1	K01895	map00630
GCF_005280295.1	K01895	map00010
GCF_005280295.1	K01895	map00720
GCF_005280295.1	K01895	map00620
GCF_005280295.1	K01895	map00680
GCF_005280295.1	K01895	map01200
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K00232	map00592
GCF_005280295.1	K00232	map01040
GCF_005280295.1	K00232	map00410
GCF_005280295.1	K00232	map00071
GCF_005280295.1	K00232	map03320
GCF_005280295.1	K00232	map04146
GCF_005280295.1	K00232	map01212
GCF_005280295.1	K00232	map00640
GCF_005280295.1	K00232	map04936
GCF_005280295.1	K00232	map04024
GCF_005280295.1	K00232	map01200
GCF_005280295.1	K01474	map00330
GCF_005280295.1	K01907	map00280
GCF_005280295.1	K01907	map00650
GCF_005280295.1	K01835	map00521
GCF_005280295.1	K01835	map00052
GCF_005280295.1	K01835	map00030
GCF_005280295.1	K01835	map00010
GCF_005280295.1	K01835	map00500
GCF_005280295.1	K01835	map00520
GCF_005280295.1	K01835	map01250
GCF_005280295.1	K01835	map00230
GCF_005280295.1	K01840	map00541
GCF_005280295.1	K01840	map00051
GCF_005280295.1	K01840	map00520
GCF_005280295.1	K01840	map01250
GCF_005280295.1	K01868	map00970
GCF_005280295.1	K01474	map00330
GCF_005280295.1	K07192	map04910
GCF_005280295.1	K00658	map00020
GCF_005280295.1	K00658	map00380
GCF_005280295.1	K00658	map00310
GCF_005280295.1	K00658	map01200
GCF_005280295.1	K02316	map03030
GCF_005280295.1	K01434	map00311
GCF_005280295.1	K01895	map00640
GCF_005280295.1	K01895	map00630
GCF_005280295.1	K01895	map00010
GCF_005280295.1	K01895	map00720
GCF_005280295.1	K01895	map00620
GCF_005280295.1	K01895	map00680
GCF_005280295.1	K01895	map01200
GCF_005280295.1	K01389	map04614
GCF_005280295.1	K01389	map04974
GCF_005280295.1	K01389	map04640
GCF_005280295.1	K01389	map05010
GCF_005280295.1	K03703	map03420
GCF_005280295.1	K00681	map00430
GCF_005280295.1	K00681	map00460
GCF_005280295.1	K00681	map00480
GCF_005280295.1	K01662	map00730
GCF_005280295.1	K01662	map00900
GCF_005280295.1	K17686	map04978
GCF_005280295.1	K17686	map01524
GCF_005280295.1	K17686	map04016
GCF_005280295.1	K00111	map00564
GCF_005280295.1	K01652	map00290
GCF_005280295.1	K01652	map00660
GCF_005280295.1	K01652	map00770
GCF_005280295.1	K01652	map01210
GCF_005280295.1	K01652	map00650
GCF_005280295.1	K01652	map01230
GCF_005280295.1	K03587	map00550
GCF_005280295.1	K03587	map01501
GCF_005280295.1	K05592	map03018
GCF_005280295.1	K11927	map03018
GCF_005280295.1	K00820	map00250
GCF_005280295.1	K00820	map04931
GCF_005280295.1	K00820	map00520
GCF_005280295.1	K00820	map05415
GCF_005280295.1	K00820	map01250
GCF_005280295.1	K00817	map00401
GCF_005280295.1	K00817	map00960
GCF_005280295.1	K00817	map00340
GCF_005280295.1	K00817	map00360
GCF_005280295.1	K00817	map00400
GCF_005280295.1	K00817	map00350
GCF_005280295.1	K00817	map01230
GCF_005280295.1	K03596	map05134
GCF_005280295.1	K04043	map04212
GCF_005280295.1	K04043	map03018
GCF_005280295.1	K04043	map05152
GCF_005280295.1	K01938	map00670
GCF_005280295.1	K01938	map00720
GCF_005280295.1	K01938	map01200
GCF_005280295.1	K01938	map01240
GCF_005280295.1	K02035	map02024
GCF_005280295.1	K00873	map04930
GCF_005280295.1	K00873	map05230
GCF_005280295.1	K00873	map04922
GCF_005280295.1	K00873	map00010
GCF_005280295.1	K00873	map00620
GCF_005280295.1	K00873	map05203
GCF_005280295.1	K00873	map05165
GCF_005280295.1	K00873	map01230
GCF_005280295.1	K00873	map01200
GCF_005280295.1	K02031	map02024
GCF_005280295.1	K02032	map02024
GCF_005280295.1	K01652	map00290
GCF_005280295.1	K01652	map00660
GCF_005280295.1	K01652	map00770
GCF_005280295.1	K01652	map01210
GCF_005280295.1	K01652	map00650
GCF_005280295.1	K01652	map01230
GCF_005280295.1	K01039	map00643
GCF_005280295.1	K01039	map00650
GCF_005280295.1	K00681	map00430
GCF_005280295.1	K00681	map00460
GCF_005280295.1	K00681	map00480
GCF_005280295.1	K01596	map04964
GCF_005280295.1	K01596	map04920
GCF_005280295.1	K01596	map04922
GCF_005280295.1	K01596	map03320
GCF_005280295.1	K01596	map00020
GCF_005280295.1	K01596	map04931
GCF_005280295.1	K01596	map04152
GCF_005280295.1	K01596	map04910
GCF_005280295.1	K01596	map04068
GCF_005280295.1	K01596	map00010
GCF_005280295.1	K01596	map00620
GCF_005280295.1	K01596	map04151
GCF_005280295.1	K01881	map00970
GCF_005280295.1	K01897	map04216
GCF_005280295.1	K01897	map00061
GCF_005280295.1	K01897	map04920
GCF_005280295.1	K01897	map00071
GCF_005280295.1	K01897	map03320
GCF_005280295.1	K01897	map04146
GCF_005280295.1	K01897	map01212
GCF_005280295.1	K01897	map04714
GCF_005280295.1	K01897	map02024
GCF_005280295.1	K02031	map02024
GCF_005280295.1	K02032	map02024
GCF_005280295.1	K02031	map02024
GCF_005280295.1	K02032	map02024
GCF_005280295.1	K00064	map00053
GCF_005280295.1	K00064	map00051
GCF_005280295.1	K02031	map02024
GCF_005280295.1	K02032	map02024
GCF_005280295.1	K01953	map00250
GCF_005280295.1	K01953	map01230
GCF_005280295.1	K01425	map04964
GCF_005280295.1	K01425	map05230
GCF_005280295.1	K01425	map00470
GCF_005280295.1	K01425	map00220
GCF_005280295.1	K01425	map04727
GCF_005280295.1	K01425	map00250
GCF_005280295.1	K01425	map04724
GCF_005280295.1	K01425	map05206
GCF_005280295.1	K01425	map02020
GCF_005280295.1	K11263	map00061
GCF_005280295.1	K11263	map00280
GCF_005280295.1	K11263	map01212
GCF_005280295.1	K11263	map00640
GCF_005280295.1	K11263	map00630
GCF_005280295.1	K11263	map00620
GCF_005280295.1	K11263	map01200
GCF_005280295.1	K03086	map02040
GCF_005280295.1	K02335	map03410
GCF_005280295.1	K02335	map03420
GCF_005280295.1	K02335	map03030
GCF_005280295.1	K02335	map03440
GCF_005280295.1	K02031	map02024
GCF_005280295.1	K02032	map02024
GCF_005280295.1	K01876	map00970
GCF_005280295.1	K01652	map00290
GCF_005280295.1	K01652	map00660
GCF_005280295.1	K01652	map00770
GCF_005280295.1	K01652	map01210
GCF_005280295.1	K01652	map00650
GCF_005280295.1	K01652	map01230
GCF_005280295.1	K01649	map00290
GCF_005280295.1	K01649	map01210
GCF_005280295.1	K01649	map00620
GCF_005280295.1	K01649	map01230
GCF_005280295.1	K00239	map00020
GCF_005280295.1	K00239	map05134
GCF_005280295.1	K00239	map00650
GCF_005280295.1	K00239	map00720
GCF_005280295.1	K00239	map00190
GCF_005280295.1	K00239	map01200
GCF_005280295.1	K00278	map00250
GCF_005280295.1	K00278	map00760
GCF_005280295.1	K00278	map01240
GCF_005280295.1	K00728	map00515
GCF_005280295.1	K00728	map00514
GCF_005280295.1	K03655	map03440
GCF_005280295.1	K01712	map00340
GCF_005280295.1	K02342	map03430
GCF_005280295.1	K02342	map03030
GCF_005280295.1	K02342	map03440
GCF_005280295.1	K02274	map00190
GCF_005280295.1	K07636	map02020
GCF_005280295.1	K07654	map02020
GCF_005280295.1	K01687	map00290
GCF_005280295.1	K01687	map00770
GCF_005280295.1	K01687	map01210
GCF_005280295.1	K01687	map01230
GCF_005280295.1	K02551	map00130
GCF_005280295.1	K02551	map01240
GCF_005280295.1	K00156	map00620
GCF_005280295.1	K00158	map00620
GCF_005280295.1	K01897	map04216
GCF_005280295.1	K01897	map00061
GCF_005280295.1	K01897	map04920
GCF_005280295.1	K01897	map00071
GCF_005280295.1	K01897	map03320
GCF_005280295.1	K01897	map04146
GCF_005280295.1	K01897	map01212
GCF_005280295.1	K01897	map04714
GCF_005280295.1	K01897	map02024
GCF_005280295.1	K01895	map00640
GCF_005280295.1	K01895	map00630
GCF_005280295.1	K01895	map00010
GCF_005280295.1	K01895	map00720
GCF_005280295.1	K01895	map00620
GCF_005280295.1	K01895	map00680
GCF_005280295.1	K01895	map01200
GCF_005280295.1	K02274	map00190
GCF_005280295.1	K01676	map00020
GCF_005280295.1	K01676	map00720
GCF_005280295.1	K01676	map00620
GCF_005280295.1	K01676	map01200
GCF_005280295.1	K01678	map00020
GCF_005280295.1	K01678	map00720
GCF_005280295.1	K01678	map00620
GCF_005280295.1	K01678	map01200
GCF_005280295.1	K03780	map00630
GCF_005280295.1	K02858	map00740
GCF_005280295.1	K02858	map01240
GCF_005280295.1	K14652	map00740
GCF_005280295.1	K14652	map00790
GCF_005280295.1	K14652	map01240
GCF_005280295.1	K10843	map03022
GCF_005280295.1	K10843	map03420
GCF_005280295.1	K01897	map04216
GCF_005280295.1	K01897	map00061
GCF_005280295.1	K01897	map04920
GCF_005280295.1	K01897	map00071
GCF_005280295.1	K01897	map03320
GCF_005280295.1	K01897	map04146
GCF_005280295.1	K01897	map01212
GCF_005280295.1	K01897	map04714
GCF_005280295.1	K01897	map02024
GCF_005280295.1	K02035	map02024
GCF_005280295.1	K12574	map03018
GCF_005280295.1	K03106	map03060
GCF_005280295.1	K03106	map03070
GCF_005280295.1	K03106	map02024
GCF_005280295.1	K00135	map00250
GCF_005280295.1	K00135	map00350
GCF_005280295.1	K00135	map00760
GCF_005280295.1	K00135	map00310
GCF_005280295.1	K00135	map00650
GCF_005280295.1	K13527	map03050
GCF_005280295.1	K01897	map04216
GCF_005280295.1	K01897	map00061
GCF_005280295.1	K01897	map04920
GCF_005280295.1	K01897	map00071
GCF_005280295.1	K01897	map03320
GCF_005280295.1	K01897	map04146
GCF_005280295.1	K01897	map01212
GCF_005280295.1	K01897	map04714
GCF_005280295.1	K01897	map02024
GCF_005280295.1	K03588	map04112
GCF_005280295.1	K01652	map00290
GCF_005280295.1	K01652	map00660
GCF_005280295.1	K01652	map00770
GCF_005280295.1	K01652	map01210
GCF_005280295.1	K01652	map00650
GCF_005280295.1	K01652	map01230
GCF_005280295.1	K02111	map00195
GCF_005280295.1	K02111	map00190
GCF_005280295.1	K02313	map04112
GCF_005280295.1	K02313	map02020
GCF_005280295.1	K02035	map02024
GCF_005280295.1	K01719	map00860
GCF_005280295.1	K01719	map01240
GCF_005280295.1	K13542	map00860
GCF_005280295.1	K13542	map01240
GCF_005280295.1	K03891	map00190
