"accession","number_of_contigs","total_length","largest_fragment","mean_fragments"
"1Dt100g",153,2104071,74994,13752.0980392157
"1Dt100h",2,2379473,2349045,1189736.5
"1Dt1h",4,4336578,2051556,1084144.5
"1Dt2d",6,5345294,2288975,890882.333333333
"2Dt1e",149,2332403,70689,15653.711409396
"2Dt1l",16,3996506,1089026,249781.625
"3Dt1c",86,3636266,275317,42282.1627906977
"3Dt2c",84,3819610,247364,45471.5476190476
"3Dt2h",166,3006227,125244,18109.8012048193
"3Dt2j",75,2813977,195248,37519.6933333333
