"accession","Total length","Fragments","Fragments N50","Largest frg","Scaffolds","Mean coverage"
"1Dt100g",2104071,153,18022,74994,0,318
"1Dt100h",2379473,2,2349045,2349045,0,224
"1Dt1h",4336578,4,1857409,2051556,0,404
"1Dt2d",5345294,6,1019507,2288975,0,225
"2Dt1e",2332403,149,22011,70689,0,344
"2Dt1l",3996506,16,345773,1089026,0,289
"3Dt1c",3636266,86,63365,275317,0,320
"3Dt2c",3819610,84,69733,247364,0,190
"3Dt2h",3006227,166,26385,125244,0,390
"3Dt2j",2813977,75,71970,195248,0,350
