accession	ko_id	map_id
GCF_014196745.1	K15371	map00430
GCF_014196745.1	K15371	map00220
GCF_014196745.1	K15371	map00910
GCF_014196745.1	K15371	map00250
GCF_014196745.1	K00265	map00910
GCF_014196745.1	K00265	map00250
GCF_014196745.1	K00265	map01230
GCF_014196745.1	K03046	map03020
GCF_014196745.1	K03043	map03020
GCF_014196745.1	K01469	map00480
GCF_014196745.1	K13821	map00250
GCF_014196745.1	K13821	map00330
GCF_014196745.1	K11891	map03070
GCF_014196745.1	K11891	map02025
GCF_014196745.1	K02337	map03430
GCF_014196745.1	K02337	map03030
GCF_014196745.1	K02337	map03440
GCF_014196745.1	K03723	map03420
GCF_014196745.1	K01955	map00250
GCF_014196745.1	K01955	map00240
GCF_014196745.1	K01955	map01240
GCF_014196745.1	K05989	map00946
GCF_014196745.1	K18138	map01503
GCF_014196745.1	K18138	map01501
GCF_014196745.1	K18146	map01501
GCF_014196745.1	K05989	map00946
GCF_014196745.1	K03701	map03420
GCF_014196745.1	K00164	map00020
GCF_014196745.1	K00164	map01200
GCF_014196745.1	K01190	map00511
GCF_014196745.1	K01190	map00600
GCF_014196745.1	K01190	map00052
GCF_014196745.1	K00990	map02020
GCF_014196745.1	K01870	map00970
GCF_014196745.1	K02335	map03410
GCF_014196745.1	K02335	map03420
GCF_014196745.1	K02335	map03030
GCF_014196745.1	K02335	map03440
GCF_014196745.1	K03070	map03060
GCF_014196745.1	K03070	map03070
GCF_014196745.1	K03070	map02024
GCF_014196745.1	K11907	map03070
GCF_014196745.1	K11907	map02025
GCF_014196745.1	K08300	map03018
GCF_014196745.1	K14986	map02020
GCF_014196745.1	K01873	map00970
GCF_014196745.1	K05349	map00946
GCF_014196745.1	K05349	map00460
GCF_014196745.1	K05349	map00999
GCF_014196745.1	K05349	map00500
GCF_014196745.1	K01595	map00710
GCF_014196745.1	K01595	map00720
GCF_014196745.1	K01595	map00620
GCF_014196745.1	K01595	map00680
GCF_014196745.1	K01595	map01200
GCF_014196745.1	K01681	map00020
GCF_014196745.1	K01681	map01210
GCF_014196745.1	K01681	map00630
GCF_014196745.1	K01681	map00720
GCF_014196745.1	K01681	map01230
GCF_014196745.1	K01681	map01200
GCF_014196745.1	K07646	map02020
GCF_014196745.1	K01006	map00710
GCF_014196745.1	K01006	map00010
GCF_014196745.1	K01006	map00720
GCF_014196745.1	K01006	map00620
GCF_014196745.1	K01006	map01200
GCF_014196745.1	K01872	map00970
GCF_014196745.1	K00548	map00450
GCF_014196745.1	K00548	map00670
GCF_014196745.1	K00548	map00270
GCF_014196745.1	K00548	map01230
GCF_014196745.1	K00372	map00910
GCF_014196745.1	K01256	map00480
GCF_014196745.1	K01192	map00511
GCF_014196745.1	K01192	map04142
GCF_014196745.1	K03555	map03430
GCF_014196745.1	K03695	map04213
GCF_014196745.1	K14205	map01503
GCF_014196745.1	K14205	map05150
GCF_014196745.1	K14205	map02020
GCF_014196745.1	K05349	map00946
GCF_014196745.1	K05349	map00460
GCF_014196745.1	K05349	map00999
GCF_014196745.1	K05349	map00500
GCF_014196745.1	K01869	map00970
GCF_014196745.1	K07347	map05133
