#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_18	247364	231	N	N	1	*	*,18,*
contig_3	222301	198	N	N	1	*	*,3,*
contig_14	185423	149	N	N	1	*	*,14,*
contig_82	135642	356	Y	Y	2	*	82
contig_1	134513	169	N	N	1	*	*,1,*
contig_13	132071	192	N	N	1	*	*,13,*
contig_62	121101	160	N	N	1	*	*,62,*
contig_26	113649	236	N	N	1	*	*,26,*
contig_39	97568	150	N	N	1	*	*,39,*
contig_41	93689	146	N	N	1	*	*,41,*
contig_29	90236	192	N	N	1	*	*,29,*
contig_20	82289	167	N	N	1	*	*,20,*
contig_15	79844	176	N	N	1	*	*,15,*
contig_42	71465	377	N	Y	2	*	*,42,*
contig_5	69980	228	N	N	1	*	*,5,*
contig_4	69733	194	N	N	1	*	*,4,*
contig_17	65698	172	N	N	1	*	*,17,*
contig_84	59493	159	N	N	1	*	*,84,*
contig_21	58400	447	N	Y	2	*	*,21,*
contig_45	57131	181	N	N	1	*	*,45,*
contig_55	51778	244	N	N	1	*	*,55,*
contig_25	51328	201	N	N	1	*	*,25,*
contig_8	51188	200	N	N	1	*	*,8,*
contig_28	50982	171	N	N	1	*	*,28,*
contig_58	49281	190	N	N	1	*	*,58,*
contig_9	49208	169	N	N	1	*	*,9,*
contig_32	49185	217	N	Y	1	*	32,*
contig_30	47028	211	N	N	1	*	*,30,*
contig_67	45942	185	N	N	1	*	*,67,*
contig_53	45810	189	N	N	1	*	*,53,*
contig_24	43163	140	N	N	1	*	*,24,*
contig_60	41629	185	N	N	1	*	*,60,*
contig_11	40747	163	N	N	1	*	*,11,*
contig_54	40496	188	N	N	1	*	*,54,*
contig_47	39930	136	N	N	1	*	*,47,*
contig_33	39398	154	N	N	1	*	*,-32,33,*
contig_16	37513	82	N	N	1	*	*,16,*
contig_43	36847	137	N	N	1	*	*,43,*
contig_31	35027	151	N	N	1	*	*,31,32,*
contig_76	34676	152	N	N	1	*	*,76,*
contig_23	33712	163	N	N	1	*	*,23,*
contig_71	33297	117	N	N	1	*	*,71,*
contig_2	33134	195	N	N	1	*	*,2,*
contig_37	30818	184	N	N	1	*	*,37,*
contig_66	30582	196	N	N	1	*	*,66,*
contig_61	30339	192	N	N	1	*	*,61,*
contig_40	29415	173	N	N	1	*	*,40,*
contig_7	26109	215	N	N	1	*	*,7,*
contig_57	24714	158	N	N	1	*	*,57,*
contig_6	24491	309	N	N	2	*	*,6,*
contig_22	24073	104	N	N	1	*	*,22,*
contig_65	23309	189	N	N	1	*	*,65,*
contig_52	21781	155	N	N	1	*	*,52,*
contig_72	20746	92	N	N	1	*	*,72,*
contig_12	20164	192	N	N	1	*	*,12,*
contig_49	19608	162	N	N	1	*	*,49,*
contig_56	18784	176	N	N	1	*	*,56,*
contig_34	17444	157	N	N	1	*	*,34,*
contig_44	17391	120	N	N	1	*	*,44,*
contig_74	16465	118	N	N	1	*	*,74,*
contig_78	15738	116	N	N	1	*	*,78,*
contig_75	15601	99	N	N	1	*	*,75,*
contig_35	15548	145	N	N	1	*	*,35,*
contig_46	14365	160	N	N	1	*	*,46,*
contig_79	14028	172	N	N	1	*	*,79,*
contig_50	13789	85	N	N	1	*	*,50,*
contig_80	12869	109	N	N	1	*	*,80,*
contig_77	12488	161	N	N	1	*	*,77,*
contig_63	12403	137	N	N	1	*	*,63,*
contig_36	12034	94	N	N	1	*	*,36,*
contig_10	12033	99	N	N	1	*	*,10,*
contig_38	11286	84	N	N	1	*	*,38,*
contig_51	11248	139	N	N	1	*	*,51,*
contig_27	11109	116	N	N	1	*	*,27,*
contig_59	8867	97	N	N	1	*	*,59,*
contig_73	8394	54	N	N	1	*	*,73,*
contig_81	8163	89	N	N	1	*	*,81,*
contig_70	7994	70	N	N	1	*	*,70,*
contig_69	7659	80	N	N	1	*	*,69,*
contig_64	7189	104	N	N	1	*	*,64,*
contig_48	6875	58	N	N	1	*	*,48,*
contig_19	5828	100	N	N	1	*	*,19,*
contig_83	4977	204	N	N	1	*	*,83,*
contig_68	4003	62	N	N	1	*	*,68,*
