accession	ko_id	map_id
1Dt2d	K20276	map02024
1Dt2d	K02364	map01053
1Dt2d	K00265	map00910
1Dt2d	K00265	map00250
1Dt2d	K00265	map01230
1Dt2d	K03046	map03020
1Dt2d	K03043	map03020
1Dt2d	K13821	map00250
1Dt2d	K13821	map00330
1Dt2d	K02364	map01053
1Dt2d	K01952	map00230
1Dt2d	K00548	map00450
1Dt2d	K00548	map00670
1Dt2d	K00548	map00270
1Dt2d	K00548	map01230
1Dt2d	K01941	map00791
1Dt2d	K01941	map00220
1Dt2d	K07677	map02026
1Dt2d	K07677	map02020
1Dt2d	K07679	map05133
1Dt2d	K07679	map02020
1Dt2d	K07679	map05133
1Dt2d	K07679	map02020
1Dt2d	K01941	map00791
1Dt2d	K01941	map00220
1Dt2d	K03582	map03440
1Dt2d	K03737	map00020
1Dt2d	K03737	map00010
1Dt2d	K03737	map00650
1Dt2d	K03737	map00720
1Dt2d	K03737	map00620
1Dt2d	K03737	map01200
1Dt2d	K08300	map03018
1Dt2d	K02337	map03430
1Dt2d	K02337	map03030
1Dt2d	K02337	map03440
1Dt2d	K03723	map03420
1Dt2d	K11891	map03070
1Dt2d	K11891	map02025
1Dt2d	K11891	map03070
1Dt2d	K11891	map02025
1Dt2d	K03583	map03440
1Dt2d	K11891	map03070
1Dt2d	K11891	map02025
1Dt2d	K01955	map00250
1Dt2d	K01955	map00240
1Dt2d	K01955	map01240
1Dt2d	K07788	map02020
1Dt2d	K18138	map01503
1Dt2d	K18138	map01501
1Dt2d	K18138	map01503
1Dt2d	K18138	map01501
1Dt2d	K18138	map01503
1Dt2d	K18138	map01501
1Dt2d	K07788	map02020
1Dt2d	K18324	map02020
1Dt2d	K07789	map02020
1Dt2d	K01190	map00511
1Dt2d	K01190	map00600
1Dt2d	K01190	map00052
1Dt2d	K07679	map05133
1Dt2d	K07679	map02020
1Dt2d	K07789	map02020
1Dt2d	K18138	map01503
1Dt2d	K18138	map01501
1Dt2d	K00302	map00260
1Dt2d	K00123	map00630
1Dt2d	K00123	map00680
1Dt2d	K00123	map01200
1Dt2d	K07648	map02026
1Dt2d	K07648	map02020
1Dt2d	K07679	map05133
1Dt2d	K07679	map02020
1Dt2d	K00281	map00630
1Dt2d	K00281	map00260
1Dt2d	K00281	map01200
1Dt2d	K00283	map00630
1Dt2d	K00283	map00260
1Dt2d	K00283	map01200
1Dt2d	K01873	map00970
1Dt2d	K07677	map02026
1Dt2d	K07677	map02020
1Dt2d	K03701	map03420
1Dt2d	K01870	map00970
1Dt2d	K00164	map00020
1Dt2d	K00164	map01200
1Dt2d	K02335	map03410
1Dt2d	K02335	map03420
1Dt2d	K02335	map03030
1Dt2d	K02335	map03440
1Dt2d	K00244	map00020
1Dt2d	K00244	map00650
1Dt2d	K00244	map00720
1Dt2d	K00244	map00620
1Dt2d	K00244	map00190
1Dt2d	K00244	map01200
1Dt2d	K00244	map02020
1Dt2d	K00336	map00190
1Dt2d	K07678	map02026
1Dt2d	K07678	map02025
1Dt2d	K07678	map05111
1Dt2d	K07678	map02020
1Dt2d	K11904	map03070
1Dt2d	K03070	map03060
1Dt2d	K03070	map03070
1Dt2d	K03070	map02024
