accession	ko_id	map_id
1Dt100g	K15371	map00430
1Dt100g	K15371	map00220
1Dt100g	K15371	map00910
1Dt100g	K15371	map00250
1Dt100g	K00265	map00910
1Dt100g	K00265	map00250
1Dt100g	K00265	map01230
1Dt100g	K03046	map03020
1Dt100g	K03043	map03020
1Dt100g	K02337	map03430
1Dt100g	K02337	map03030
1Dt100g	K02337	map03440
1Dt100g	K03723	map03420
1Dt100g	K01955	map00250
1Dt100g	K01955	map00240
1Dt100g	K01955	map01240
1Dt100g	K18138	map01503
1Dt100g	K18138	map01501
1Dt100g	K18138	map01503
1Dt100g	K18138	map01501
1Dt100g	K13821	map00250
1Dt100g	K13821	map00330
1Dt100g	K03723	map03420
1Dt100g	K01870	map00970
1Dt100g	K00164	map00020
1Dt100g	K00164	map01200
1Dt100g	K03701	map03420
1Dt100g	K02335	map03410
1Dt100g	K02335	map03420
1Dt100g	K02335	map03030
1Dt100g	K02335	map03440
1Dt100g	K01007	map00010
1Dt100g	K01007	map00720
1Dt100g	K01007	map00620
1Dt100g	K01007	map00680
1Dt100g	K01007	map01200
1Dt100g	K03070	map03060
1Dt100g	K03070	map03070
1Dt100g	K03070	map02024
1Dt100g	K00548	map00450
1Dt100g	K00548	map00670
1Dt100g	K00548	map00270
1Dt100g	K00548	map01230
1Dt100g	K01006	map00710
1Dt100g	K01006	map00010
1Dt100g	K01006	map00720
1Dt100g	K01006	map00620
1Dt100g	K01006	map01200
1Dt100g	K01681	map00020
1Dt100g	K01681	map01210
1Dt100g	K01681	map00630
1Dt100g	K01681	map00720
1Dt100g	K01681	map01230
1Dt100g	K01681	map01200
1Dt100g	K01873	map00970
1Dt100g	K01256	map00480
1Dt100g	K20455	map00640
1Dt100g	K01872	map00970
1Dt100g	K03695	map04213
1Dt100g	K15408	map00190
1Dt100g	K01869	map00970
1Dt100g	K05366	map00550
1Dt100g	K05366	map01501
1Dt100g	K01971	map03450
1Dt100g	K03657	map03430
1Dt100g	K03657	map03420
1Dt100g	K01338	map04112
1Dt100g	K13587	map04112
1Dt100g	K13587	map02020
1Dt100g	K03199	map03070
1Dt100g	K11177	map01232
1Dt100g	K11177	map00230
1Dt100g	K03407	map02030
1Dt100g	K03407	map02020
1Dt100g	K13525	map05134
1Dt100g	K13525	map04141
1Dt100g	K13525	map05014
1Dt100g	K13525	map05022
1Dt100g	K11177	map01232
1Dt100g	K11177	map00230
1Dt100g	K13598	map02020
1Dt100g	K12573	map03018
1Dt100g	K01278	map04974
1Dt100g	K01952	map00230
1Dt100g	K03782	map00940
1Dt100g	K03782	map00983
1Dt100g	K03782	map00360
1Dt100g	K03782	map00380
1Dt100g	K01879	map00970
1Dt100g	K16554	map05111
1Dt100g	K11177	map01232
1Dt100g	K11177	map00230
1Dt100g	K04066	map03440
1Dt100g	K01782	map00930
1Dt100g	K01782	map00907
1Dt100g	K01782	map00410
1Dt100g	K01782	map00071
1Dt100g	K01782	map00280
1Dt100g	K01782	map00380
1Dt100g	K01782	map01212
1Dt100g	K01782	map00640
1Dt100g	K01782	map00310
1Dt100g	K01782	map00362
1Dt100g	K01782	map00650
1Dt100g	K01782	map01200
1Dt100g	K01322	map04614
1Dt100g	K01354	map05143
1Dt100g	K01354	map05142
1Dt100g	K01972	map03410
1Dt100g	K01972	map03430
1Dt100g	K01972	map03420
1Dt100g	K01972	map03030
1Dt100g	K11177	map01232
1Dt100g	K11177	map00230
1Dt100g	K01322	map04614
1Dt100g	K00341	map00190
1Dt100g	K03781	map04016
1Dt100g	K03781	map04212
1Dt100g	K03781	map04213
1Dt100g	K03781	map04211
1Dt100g	K03781	map04146
1Dt100g	K03781	map00380
1Dt100g	K03781	map04011
1Dt100g	K03781	map04068
1Dt100g	K03781	map00630
1Dt100g	K03781	map05208
1Dt100g	K03781	map05014
1Dt100g	K03781	map01200
1Dt100g	K03781	map05022
1Dt100g	K02400	map02040
1Dt100g	K03655	map03440
1Dt100g	K01354	map05143
1Dt100g	K01354	map05142
1Dt100g	K01950	map00760
1Dt100g	K01950	map01240
1Dt100g	K03086	map02040
1Dt100g	K07516	map00071
1Dt100g	K07516	map01212
1Dt100g	K07516	map00362
1Dt100g	K07516	map00650
1Dt100g	K07516	map01200
1Dt100g	K05515	map00550
1Dt100g	K05515	map01501
1Dt100g	K00336	map00190
1Dt100g	K01638	map00630
1Dt100g	K01638	map00620
1Dt100g	K01638	map01200
1Dt100g	K01868	map00970
1Dt100g	K00615	map01051
1Dt100g	K00615	map00710
1Dt100g	K00615	map00030
1Dt100g	K00615	map01230
1Dt100g	K00615	map01200
1Dt100g	K00174	map00020
1Dt100g	K00174	map00010
1Dt100g	K00174	map00650
1Dt100g	K00174	map00720
1Dt100g	K00174	map00620
1Dt100g	K00174	map01200
1Dt100g	K03703	map03420
1Dt100g	K01662	map00730
1Dt100g	K01662	map00900
1Dt100g	K00951	map00230
1Dt100g	K01139	map00230
1Dt100g	K10125	map02020
1Dt100g	K02316	map03030
1Dt100g	K03147	map00730
1Dt100g	K03147	map01240
1Dt100g	K00681	map00430
1Dt100g	K00681	map00460
1Dt100g	K00681	map00480
1Dt100g	K02316	map03030
1Dt100g	K01968	map00280
