accession	ko_id	map_id
GCA_019117325.1	K15371	map00430
GCA_019117325.1	K15371	map00220
GCA_019117325.1	K15371	map00910
GCA_019117325.1	K15371	map00250
GCA_019117325.1	K00265	map00910
GCA_019117325.1	K00265	map00250
GCA_019117325.1	K00265	map01230
GCA_019117325.1	K00164	map00020
GCA_019117325.1	K00164	map01200
GCA_019117325.1	K01616	map00020
GCA_019117325.1	K01616	map00630
GCA_019117325.1	K01616	map01200
GCA_019117325.1	K03723	map03420
GCA_019117325.1	K03657	map03430
GCA_019117325.1	K03657	map03420
GCA_019117325.1	K02337	map03430
GCA_019117325.1	K02337	map03030
GCA_019117325.1	K02337	map03440
GCA_019117325.1	K02343	map03430
GCA_019117325.1	K02343	map03030
GCA_019117325.1	K02343	map03440
GCA_019117325.1	K03046	map03020
GCA_019117325.1	K01870	map00970
GCA_019117325.1	K00123	map00630
GCA_019117325.1	K00123	map00680
GCA_019117325.1	K00123	map01200
GCA_019117325.1	K03701	map03420
GCA_019117325.1	K01869	map00970
GCA_019117325.1	K00163	map00020
GCA_019117325.1	K00163	map00010
GCA_019117325.1	K00163	map00620
GCA_019117325.1	K00163	map01200
GCA_019117325.1	K02492	map00860
GCA_019117325.1	K02492	map01240
GCA_019117325.1	K01256	map00480
GCA_019117325.1	K03070	map03060
GCA_019117325.1	K03070	map03070
GCA_019117325.1	K03070	map02024
GCA_019117325.1	K01873	map00970
GCA_019117325.1	K00943	map00240
GCA_019117325.1	K00943	map01232
GCA_019117325.1	K01872	map00970
GCA_019117325.1	K02335	map03410
GCA_019117325.1	K02335	map03420
GCA_019117325.1	K02335	map03030
GCA_019117325.1	K02335	map03440
GCA_019117325.1	K01890	map00970
GCA_019117325.1	K01087	map00500
GCA_019117325.1	K00163	map00020
GCA_019117325.1	K00163	map00010
GCA_019117325.1	K00163	map00620
GCA_019117325.1	K00163	map01200
GCA_019117325.1	K01955	map00250
GCA_019117325.1	K01955	map00240
GCA_019117325.1	K01955	map01240
GCA_019117325.1	K03657	map03430
GCA_019117325.1	K03657	map03420
GCA_019117325.1	K01972	map03410
GCA_019117325.1	K01972	map03430
GCA_019117325.1	K01972	map03420
GCA_019117325.1	K01972	map03030
GCA_019117325.1	K02342	map03430
GCA_019117325.1	K02342	map03030
GCA_019117325.1	K02342	map03440
GCA_019117325.1	K01081	map00760
GCA_019117325.1	K01081	map00240
GCA_019117325.1	K01081	map01232
GCA_019117325.1	K01081	map00230
GCA_019117325.1	K01952	map00230
GCA_019117325.1	K00951	map00230
GCA_019117325.1	K01139	map00230
GCA_019117325.1	K03070	map03060
GCA_019117325.1	K03070	map03070
GCA_019117325.1	K03070	map02024
GCA_019117325.1	K00962	map03018
GCA_019117325.1	K01782	map00930
GCA_019117325.1	K01782	map00907
GCA_019117325.1	K01782	map00410
GCA_019117325.1	K01782	map00071
GCA_019117325.1	K01782	map00280
GCA_019117325.1	K01782	map00380
GCA_019117325.1	K01782	map01212
GCA_019117325.1	K01782	map00640
GCA_019117325.1	K01782	map00310
GCA_019117325.1	K01782	map00362
GCA_019117325.1	K01782	map00650
GCA_019117325.1	K01782	map01200
GCA_019117325.1	K07516	map00071
GCA_019117325.1	K07516	map01212
GCA_019117325.1	K07516	map00362
GCA_019117325.1	K07516	map00650
GCA_019117325.1	K07516	map01200
GCA_019117325.1	K00937	map03018
GCA_019117325.1	K00937	map00190
GCA_019117325.1	K01007	map00010
GCA_019117325.1	K01007	map00720
GCA_019117325.1	K01007	map00620
GCA_019117325.1	K01007	map00680
GCA_019117325.1	K01007	map01200
GCA_019117325.1	K01958	map00020
GCA_019117325.1	K01958	map00720
GCA_019117325.1	K01958	map00620
GCA_019117325.1	K01958	map01230
GCA_019117325.1	K01958	map01200
GCA_019117325.1	K00615	map01051
GCA_019117325.1	K00615	map00710
GCA_019117325.1	K00615	map00030
GCA_019117325.1	K00615	map01230
GCA_019117325.1	K00615	map01200
GCA_019117325.1	K01256	map00480
GCA_019117325.1	K04066	map03440
GCA_019117325.1	K03657	map03430
GCA_019117325.1	K03657	map03420
GCA_019117325.1	K00232	map00592
GCA_019117325.1	K00232	map01040
GCA_019117325.1	K00232	map00410
GCA_019117325.1	K00232	map00071
GCA_019117325.1	K00232	map03320
GCA_019117325.1	K00232	map04146
GCA_019117325.1	K00232	map01212
GCA_019117325.1	K00232	map00640
GCA_019117325.1	K00232	map04936
GCA_019117325.1	K00232	map04024
GCA_019117325.1	K00232	map01200
GCA_019117325.1	K03655	map03440
GCA_019117325.1	K01907	map00280
GCA_019117325.1	K01907	map00650
GCA_019117325.1	K01895	map00640
GCA_019117325.1	K01895	map00630
GCA_019117325.1	K01895	map00010
GCA_019117325.1	K01895	map00720
GCA_019117325.1	K01895	map00620
GCA_019117325.1	K01895	map00680
GCA_019117325.1	K01895	map01200
GCA_019117325.1	K01868	map00970
GCA_019117325.1	K17686	map04978
GCA_019117325.1	K17686	map01524
GCA_019117325.1	K17686	map04016
GCA_019117325.1	K00031	map05230
GCA_019117325.1	K00031	map00480
GCA_019117325.1	K00031	map00020
GCA_019117325.1	K00031	map04146
GCA_019117325.1	K00031	map01210
GCA_019117325.1	K00031	map00720
GCA_019117325.1	K00031	map01230
GCA_019117325.1	K00031	map01200
GCA_019117325.1	K02316	map03030
GCA_019117325.1	K03702	map03420
GCA_019117325.1	K00102	map00620
GCA_019117325.1	K00104	map00630
GCA_019117325.1	K03072	map03060
GCA_019117325.1	K03072	map03070
GCA_019117325.1	K01687	map00290
GCA_019117325.1	K01687	map00770
GCA_019117325.1	K01687	map01210
GCA_019117325.1	K01687	map01230
GCA_019117325.1	K01966	map00280
GCA_019117325.1	K01966	map00640
GCA_019117325.1	K01966	map00630
GCA_019117325.1	K01966	map01200
GCA_019117325.1	K17686	map04978
GCA_019117325.1	K17686	map01524
GCA_019117325.1	K17686	map04016
GCA_019117325.1	K01908	map00640
GCA_019117325.1	K00239	map00020
GCA_019117325.1	K00239	map05134
GCA_019117325.1	K00239	map00650
GCA_019117325.1	K00239	map00720
GCA_019117325.1	K00239	map00190
GCA_019117325.1	K00239	map01200
GCA_019117325.1	K00278	map00250
GCA_019117325.1	K00278	map00760
GCA_019117325.1	K00278	map01240
GCA_019117325.1	K01923	map00230
GCA_019117325.1	K01945	map00230
GCA_019117325.1	K01810	map00030
GCA_019117325.1	K01810	map00010
GCA_019117325.1	K01810	map00500
GCA_019117325.1	K01810	map00520
GCA_019117325.1	K01810	map01250
GCA_019117325.1	K01810	map01200
GCA_019117325.1	K03703	map03420
GCA_019117325.1	K03043	map03020
GCA_019117325.1	K01652	map00290
GCA_019117325.1	K01652	map00660
GCA_019117325.1	K01652	map00770
GCA_019117325.1	K01652	map01210
GCA_019117325.1	K01652	map00650
GCA_019117325.1	K01652	map01230
GCA_019117325.1	K17686	map04978
GCA_019117325.1	K17686	map01524
GCA_019117325.1	K17686	map04016
GCA_019117325.1	K01897	map04216
GCA_019117325.1	K01897	map00061
GCA_019117325.1	K01897	map04920
GCA_019117325.1	K01897	map00071
GCA_019117325.1	K01897	map03320
GCA_019117325.1	K01897	map04146
GCA_019117325.1	K01897	map01212
GCA_019117325.1	K01897	map04714
GCA_019117325.1	K01897	map02024
GCA_019117325.1	K01589	map00230
GCA_019117325.1	K02031	map02024
GCA_019117325.1	K02034	map02024
GCA_019117325.1	K01881	map00970
GCA_019117325.1	K01596	map04964
GCA_019117325.1	K01596	map04920
GCA_019117325.1	K01596	map04922
GCA_019117325.1	K01596	map03320
GCA_019117325.1	K01596	map00020
GCA_019117325.1	K01596	map04931
GCA_019117325.1	K01596	map04152
GCA_019117325.1	K01596	map04910
GCA_019117325.1	K01596	map04068
GCA_019117325.1	K01596	map00010
GCA_019117325.1	K01596	map00620
GCA_019117325.1	K01596	map04151
GCA_019117325.1	K02551	map00130
GCA_019117325.1	K02551	map01240
GCA_019117325.1	K01425	map04964
GCA_019117325.1	K01425	map05230
GCA_019117325.1	K01425	map00470
GCA_019117325.1	K01425	map00220
GCA_019117325.1	K01425	map04727
GCA_019117325.1	K01425	map00250
GCA_019117325.1	K01425	map04724
GCA_019117325.1	K01425	map05206
GCA_019117325.1	K01425	map02020
GCA_019117325.1	K02031	map02024
GCA_019117325.1	K02032	map02024
GCA_019117325.1	K03628	map03018
GCA_019117325.1	K01897	map04216
GCA_019117325.1	K01897	map00061
GCA_019117325.1	K01897	map04920
GCA_019117325.1	K01897	map00071
GCA_019117325.1	K01897	map03320
GCA_019117325.1	K01897	map04146
GCA_019117325.1	K01897	map01212
GCA_019117325.1	K01897	map04714
GCA_019117325.1	K01897	map02024
GCA_019117325.1	K01835	map00521
