accession	ko_id	map_id
3Dt2c	K01197	map00531
3Dt2c	K01197	map04142
3Dt2c	K15371	map00430
3Dt2c	K15371	map00220
3Dt2c	K15371	map00910
3Dt2c	K15371	map00250
3Dt2c	K00265	map00910
3Dt2c	K00265	map00250
3Dt2c	K00265	map01230
3Dt2c	K03046	map03020
3Dt2c	K03043	map03020
3Dt2c	K02337	map03430
3Dt2c	K02337	map03030
3Dt2c	K02337	map03440
3Dt2c	K01469	map00480
3Dt2c	K03723	map03420
3Dt2c	K05939	map00071
3Dt2c	K05939	map00564
3Dt2c	K01192	map00511
3Dt2c	K01192	map04142
3Dt2c	K01955	map00250
3Dt2c	K01955	map00240
3Dt2c	K01955	map01240
3Dt2c	K01190	map00511
3Dt2c	K01190	map00600
3Dt2c	K01190	map00052
3Dt2c	K18138	map01503
3Dt2c	K18138	map01501
3Dt2c	K18138	map01503
3Dt2c	K18138	map01501
3Dt2c	K03723	map03420
3Dt2c	K13821	map00250
3Dt2c	K13821	map00330
3Dt2c	K01190	map00511
3Dt2c	K01190	map00600
3Dt2c	K01190	map00052
3Dt2c	K00164	map00020
3Dt2c	K00164	map01200
3Dt2c	K01870	map00970
3Dt2c	K01190	map00511
3Dt2c	K01190	map00600
3Dt2c	K01190	map00052
3Dt2c	K02335	map03410
3Dt2c	K02335	map03420
3Dt2c	K02335	map03030
3Dt2c	K02335	map03440
3Dt2c	K03070	map03060
3Dt2c	K03070	map03070
3Dt2c	K03070	map02024
3Dt2c	K08300	map03018
3Dt2c	K00548	map00450
3Dt2c	K00548	map00670
3Dt2c	K00548	map00270
3Dt2c	K00548	map01230
3Dt2c	K07646	map02020
3Dt2c	K01681	map00020
3Dt2c	K01681	map01210
3Dt2c	K01681	map00630
3Dt2c	K01681	map00720
3Dt2c	K01681	map01230
3Dt2c	K01681	map01200
3Dt2c	K01873	map00970
3Dt2c	K01595	map00710
3Dt2c	K01595	map00720
3Dt2c	K01595	map00620
3Dt2c	K01595	map00680
3Dt2c	K01595	map01200
3Dt2c	K01006	map00710
3Dt2c	K01006	map00010
3Dt2c	K01006	map00720
3Dt2c	K01006	map00620
3Dt2c	K01006	map01200
3Dt2c	K03701	map03420
3Dt2c	K00990	map02020
3Dt2c	K01872	map00970
3Dt2c	K14205	map01503
3Dt2c	K14205	map05150
3Dt2c	K14205	map02020
3Dt2c	K03555	map03430
3Dt2c	K01192	map00511
3Dt2c	K01192	map04142
3Dt2c	K01256	map00480
3Dt2c	K00372	map00910
3Dt2c	K05349	map00946
3Dt2c	K05349	map00460
3Dt2c	K05349	map00999
3Dt2c	K05349	map00500
3Dt2c	K03695	map04213
3Dt2c	K01869	map00970
3Dt2c	K00315	map00260
3Dt2c	K15408	map00190
3Dt2c	K05366	map00550
3Dt2c	K05366	map01501
3Dt2c	K01338	map04112
3Dt2c	K00362	map00910
3Dt2c	K00380	map00920
3Dt2c	K00688	map04922
3Dt2c	K00688	map02026
3Dt2c	K00688	map04931
3Dt2c	K00688	map04910
3Dt2c	K00688	map04217
3Dt2c	K00688	map00500
3Dt2c	K05349	map00946
3Dt2c	K05349	map00460
3Dt2c	K05349	map00999
3Dt2c	K05349	map00500
3Dt2c	K13587	map04112
3Dt2c	K13587	map02020
3Dt2c	K01890	map00970
3Dt2c	K00962	map03018
3Dt2c	K00117	map00030
3Dt2c	K15923	map00511
3Dt2c	K11177	map01232
3Dt2c	K11177	map00230
3Dt2c	K00029	map00710
3Dt2c	K00029	map03320
3Dt2c	K00029	map00620
3Dt2c	K00029	map01200
3Dt2c	K03407	map02030
3Dt2c	K03407	map02020
3Dt2c	K01205	map00531
3Dt2c	K01205	map04142
3Dt2c	K05349	map00946
3Dt2c	K05349	map00460
3Dt2c	K05349	map00999
3Dt2c	K05349	map00500
3Dt2c	K13525	map05134
3Dt2c	K13525	map04141
3Dt2c	K13525	map05014
3Dt2c	K13525	map05022
3Dt2c	K05349	map00946
3Dt2c	K05349	map00460
3Dt2c	K05349	map00999
3Dt2c	K05349	map00500
3Dt2c	K12373	map00604
3Dt2c	K12373	map00531
3Dt2c	K12373	map00603
3Dt2c	K12373	map00511
3Dt2c	K12373	map00600
3Dt2c	K12373	map00513
3Dt2c	K12373	map04142
3Dt2c	K12373	map00520
3Dt2c	K13482	map01232
3Dt2c	K13482	map00230
3Dt2c	K03657	map03430
3Dt2c	K03657	map03420
3Dt2c	K05349	map00946
3Dt2c	K05349	map00460
3Dt2c	K05349	map00999
3Dt2c	K05349	map00500
