#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_96	125244	674	N	N	2	*	*,96,*
contig_166	80041	465	N	N	1	*	*,166,*
contig_99	74086	1281	N	Y	3	*	*,99,*
contig_98	70467	777	N	Y	2	*	*,98,*
contig_163	70433	510	N	N	1	*	*,163,*
contig_150	62224	420	N	N	1	*	*,150,*
contig_88	51945	298	N	N	1	*	*,88,*
contig_167	51518	708	N	N	2	*	*,167,*
contig_168	46222	413	N	N	1	*	*,168,*
contig_72	43103	619	N	N	2	*	*,72,*
contig_97	42913	467	N	N	1	*	*,97,*
contig_90	42100	477	N	N	1	*	*,90,*
contig_42	41879	317	N	N	1	*	*,42,*
contig_162	40421	210	N	N	1	*	*,162,*
contig_7	39509	317	N	N	1	*	*,7,*
contig_89	38969	369	N	N	1	*	*,89,*
contig_140	37198	391	N	N	1	*	*,140,*
contig_118	36932	463	N	N	1	*	*,118,*
contig_164	36770	190	N	N	1	*	*,164,*
contig_6	36201	269	N	N	1	*	*,6,*
contig_149	34615	266	N	N	1	*	*,149,*
contig_160	34217	405	N	N	1	*	*,160,*
contig_58	33994	353	N	Y	1	*	*,58,*
contig_106	32981	290	N	N	1	*	*,106,*
contig_91	32422	406	N	N	1	*	*,91,*
contig_141	31784	323	N	N	1	*	*,141,*
contig_49	31542	164	N	N	1	*	*,49,*
contig_25	31112	152	N	N	1	*	*,25,*
contig_100	29443	475	N	N	1	*	*,100,*
contig_144	28537	84	N	N	1	*	*,144,*
contig_136	28308	513	N	N	1	*	*,136,*
contig_117	27638	127	N	N	1	*	*,117,*
contig_94	26933	236	N	N	1	*	*,94,*
contig_93	26671	327	N	N	1	*	*,93,*
contig_53	26385	202	N	N	1	*	*,53,*
contig_158	26264	431	N	N	1	*	*,158,*
contig_131	24894	842	N	Y	2	*	*,131,*
contig_154	24302	382	N	N	1	*	*,154,*
contig_86	23142	406	N	N	1	*	*,86,*
contig_120	22498	375	N	N	1	*	*,120,*
contig_54	21485	416	N	N	1	*	*,54,*
contig_151	21216	268	N	N	1	*	*,151,*
contig_153	20637	338	N	N	1	*	*,153,*
contig_110	19895	648	N	N	2	*	*,110,*
contig_66	19772	576	N	N	2	*	*,66,*
contig_112	19444	240	N	N	1	*	*,112,*
contig_45	19234	368	N	N	1	*	*,45,*
contig_22	18894	221	N	N	1	*	*,22,*
contig_126	18678	185	N	N	1	*	*,126,*
contig_161	18223	272	N	N	1	*	*,161,*
contig_62	18102	320	N	N	1	*	*,62,*
contig_135	18067	531	N	N	1	*	*,135,*
contig_114	18065	309	N	N	1	*	*,114,*
contig_35	17988	349	N	N	1	*	*,35,*
contig_105	17814	233	N	N	1	*	*,105,*
contig_14	17420	276	N	N	1	*	*,14,*
contig_57	17419	184	N	N	1	*	*,57,*
contig_79	17205	311	N	N	1	*	*,79,*
contig_27	17072	246	N	N	1	*	*,27,*
contig_134	16926	203	N	N	1	*	*,134,*
contig_116	16635	504	N	N	1	*	*,116,*
contig_85	16241	171	N	N	1	*	*,85,*
contig_43	16221	490	N	N	1	*	*,43,*
contig_113	16145	450	N	N	1	*	*,113,*
contig_111	16105	435	N	N	1	*	*,111,*
contig_19	15917	357	N	N	1	*	*,19,*
contig_125	15838	294	N	N	1	*	*,125,*
contig_143	15468	554	N	N	1	*	*,143,*
contig_44	14940	135	N	N	1	*	*,44,*
contig_107	14890	297	N	N	1	*	*,107,*
contig_115	14753	229	N	N	1	*	*,115,*
contig_103	14632	506	N	N	1	*	*,103,*
contig_23	14561	397	N	N	1	*	*,23,*
contig_31	14537	106	N	N	1	*	*,31,*
contig_13	14431	119	N	N	1	*	*,13,*
contig_39	14092	290	N	N	1	*	*,39,*
contig_92	13811	110	N	N	1	*	*,92,*
contig_155	13666	340	N	N	1	*	*,155,*
contig_48	13620	155	N	N	1	*	*,48,*
contig_60	13510	599	N	N	2	*	*,60,*
contig_124	13406	593	N	N	2	*	*,124,*
contig_104	13401	545	N	N	1	*	*,104,*
contig_65	13265	426	N	N	1	*	*,65,*
contig_108	12996	383	N	N	1	*	*,108,*
contig_129	12812	283	N	N	1	*	*,129,*
contig_3	12751	208	N	N	1	*	*,3,*
contig_9	12539	528	N	N	1	*	*,9,*
contig_36	12505	254	N	N	1	*	*,36,*
contig_82	12390	456	N	N	1	*	*,82,*
contig_51	12337	176	N	N	1	*	*,51,*
contig_59	11994	395	N	N	1	*	*,59,*
contig_26	11703	232	N	N	1	*	*,26,*
contig_77	11564	291	N	N	1	*	*,77,*
contig_132	11445	330	N	N	1	*	*,132,*
contig_127	11211	474	N	N	1	*	*,127,*
contig_67	11188	102	N	N	1	*	*,67,*
contig_119	11095	343	N	N	1	*	*,119,*
contig_15	10936	193	N	N	1	*	*,15,*
contig_50	10876	113	N	N	1	*	*,50,*
contig_12	10828	359	N	N	1	*	*,12,*
contig_10	10316	226	N	N	1	*	*,10,*
contig_128	10260	252	N	N	1	*	*,128,*
contig_83	10078	340	N	N	1	*	*,83,*
contig_80	10017	161	N	N	1	*	*,80,*
contig_55	9966	257	N	N	1	*	*,55,*
contig_146	9839	423	N	N	1	*	*,146,*
contig_16	9617	598	N	N	2	*	*,16,*
contig_122	9375	450	N	N	1	*	*,122,*
contig_73	9299	260	N	N	1	*	*,73,*
contig_21	8979	287	N	N	1	*	*,21,*
contig_8	8973	100	N	N	1	*	*,8,*
contig_137	8905	288	N	N	1	*	*,137,*
contig_87	8810	398	N	N	1	*	*,87,*
contig_152	8797	380	N	N	1	*	*,152,*
contig_95	8610	211	N	N	1	*	*,95,*
contig_75	8262	187	N	N	1	*	*,75,*
contig_5	8124	253	N	N	1	*	*,5,*
contig_165	8015	113	N	N	1	*	*,165,*
contig_147	7949	325	N	N	1	*	*,147,*
contig_29	7868	297	N	N	1	*	*,29,*
contig_142	7823	285	N	N	1	*	*,142,*
contig_76	7806	258	N	N	1	*	*,76,*
contig_56	7797	107	N	N	1	*	*,56,*
contig_138	7761	106	N	N	1	*	*,138,*
contig_145	7761	179	N	N	1	*	*,145,*
contig_102	7717	240	N	N	1	*	*,102,*
contig_18	7668	530	N	N	1	*	*,18,*
contig_32	7477	256	N	N	1	*	*,32,*
contig_46	7461	241	N	N	1	*	*,46,*
contig_47	7264	95	N	N	1	*	*,47,*
contig_24	7152	111	N	N	1	*	*,24,*
contig_74	7098	121	N	N	1	*	*,74,*
contig_148	7071	179	N	N	1	*	*,148,*
contig_156	7001	399	N	N	1	*	*,156,*
contig_61	6540	132	N	N	1	*	*,61,*
contig_4	6493	198	N	N	1	*	*,4,*
contig_123	6462	244	N	N	1	*	*,123,*
contig_81	6344	258	N	N	1	*	*,81,*
contig_40	6219	145	N	N	1	*	*,40,*
contig_101	6064	249	N	N	1	*	*,101,*
contig_30	6003	110	N	N	1	*	*,30,*
contig_2	5949	289	N	N	1	*	*,2,*
contig_34	5824	265	N	N	1	*	*,34,*
contig_130	5715	359	N	N	1	*	*,130,*
contig_121	5691	252	N	N	1	*	*,121,*
contig_84	5633	92	N	N	1	*	*,84,*
contig_28	5618	233	N	N	1	*	*,28,*
contig_1	5614	107	N	N	1	*	*,1,*
contig_78	5442	226	N	N	1	*	*,78,*
contig_20	5268	398	N	N	1	*	*,20,*
contig_159	5028	128	N	N	1	*	*,159,*
contig_109	4971	474	N	N	1	*	*,109,*
contig_70	4967	178	N	N	1	*	*,70,*
contig_41	4742	249	N	N	1	*	*,41,*
contig_63	4650	179	N	N	1	*	*,63,*
contig_71	4560	227	N	N	1	*	*,71,*
contig_139	4459	189	N	N	1	*	*,139,*
contig_33	4281	231	N	N	1	*	*,33,*
contig_37	4262	129	N	N	1	*	*,37,*
contig_157	4035	106	N	N	1	*	*,157,*
contig_69	3822	175	N	N	1	*	*,69,*
contig_52	3293	236	N	N	1	*	*,52,*
contig_133	2954	135	N	N	1	*	*,133,*
contig_64	2813	131	N	N	1	*	*,64,*
contig_68	2540	153	N	N	1	*	*,68,*
contig_11	2387	140	N	N	1	*	*,11,*
