#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_108	70689	1082	N	Y	3	*	*,108,*
contig_137	65295	745	N	Y	2	*	*,137,*
contig_18	53958	653	N	Y	2	*	*,18,*
contig_96	51267	640	N	Y	2	*	*,96,*
contig_15	49734	491	N	N	2	*	*,15,*
contig_65	48247	291	N	N	1	*	*,65,*
contig_7	47985	341	N	N	1	*	*,7,*
contig_151	45227	247	N	N	1	*	*,151,*
contig_11	44555	262	N	N	1	*	*,11,*
contig_88	43495	244	N	N	1	*	*,88,*
contig_149	38866	111	N	N	1	*	*,149,*
contig_124	34155	834	N	Y	3	*	*,124,*
contig_118	31204	289	N	N	1	*	*,118,*
contig_50	30656	329	N	N	1	*	*,50,*
contig_86	29801	440	N	N	1	*	*,86,*
contig_144	29768	248	N	N	1	*	*,144,*
contig_72	29332	177	N	N	1	*	*,72,*
contig_21	28821	668	N	Y	2	*	*,21,*
contig_31	27960	338	N	N	1	*	*,31,*
contig_142	27641	211	N	N	1	*	*,142,*
contig_34	26946	419	N	N	1	*	*,34,*
contig_87	26675	219	N	N	1	*	*,87,*
contig_45	26146	605	N	Y	2	*	*,45,*
contig_36	25885	102	N	N	1	*	*,36,*
contig_3	25882	155	N	N	1	*	*,3,*
contig_147	24682	154	N	N	1	*	*,147,*
contig_139	23536	302	N	N	1	*	*,139,*
contig_109	23411	193	N	N	1	*	*,109,*
contig_67	23335	501	N	N	2	*	*,67,*
contig_28	23328	154	N	N	1	*	*,28,*
contig_105	23261	917	N	Y	3	*	*,105,*
contig_148	22257	77	N	N	1	*	*,148,*
contig_79	22243	245	N	N	1	*	*,79,*
contig_46	22011	249	N	N	1	*	*,46,*
contig_92	20632	182	N	N	1	*	*,92,*
contig_83	19715	225	N	N	1	*	*,83,*
contig_64	19560	287	N	N	1	*	*,64,*
contig_8	19437	346	N	N	1	*	*,8,*
contig_60	18752	362	N	N	1	*	*,60,*
contig_73	17895	597	N	Y	2	*	*,73,*
contig_94	17770	424	N	N	1	*	*,94,*
contig_33	17468	323	N	N	1	*	*,33,*
contig_6	17450	122	N	N	1	*	*,6,*
contig_122	17379	335	N	N	1	*	*,122,*
contig_47	17320	278	N	N	1	*	*,47,*
contig_82	16948	245	N	N	1	*	*,82,*
contig_89	16268	663	N	Y	2	*	*,89,*
contig_20	15926	1141	N	Y	3	*	*,20,*
contig_110	15706	128	N	N	1	*	*,110,*
contig_53	15418	598	N	Y	2	*	*,53,*
contig_123	15085	143	N	N	1	*	*,123,*
contig_150	14810	502	N	N	2	*	*,150,*
contig_78	14577	133	N	N	1	*	*,78,*
contig_62	14561	234	N	N	1	*	*,62,*
contig_41	14322	186	N	N	1	*	*,41,*
contig_63	14191	425	N	N	1	*	*,63,*
contig_84	13878	234	N	N	1	*	*,84,*
contig_131	13785	288	N	N	1	*	*,131,*
contig_10	13730	161	N	N	1	*	*,10,*
contig_55	13583	100	N	N	1	*	*,55,*
contig_66	13273	433	N	N	1	*	*,66,*
contig_14	13149	443	N	N	1	*	*,14,*
contig_133	12946	358	N	N	1	*	*,133,*
contig_129	12770	230	N	N	1	*	*,129,*
contig_136	12437	283	N	N	1	*	*,136,*
contig_13	12357	101	N	N	1	*	*,13,*
contig_44	12039	206	N	N	1	*	*,44,*
contig_27	11803	368	N	N	1	*	*,27,*
contig_22	11781	139	N	N	1	*	*,22,*
contig_93	11657	200	N	N	1	*	*,93,*
contig_23	11444	155	N	N	1	*	*,23,*
contig_26	11399	374	N	N	1	*	*,26,*
contig_57	11398	189	N	N	1	*	*,57,*
contig_40	11345	122	N	N	1	*	*,40,*
contig_135	11286	140	N	N	1	*	*,135,*
contig_52	11155	163	N	N	1	*	*,52,*
contig_61	11140	84	N	N	1	*	*,61,*
contig_42	10890	340	N	N	1	*	*,42,*
contig_97	10603	530	N	N	1	*	*,97,*
contig_49	10600	328	N	N	1	*	*,49,*
contig_119	10542	273	N	N	1	*	*,119,*
contig_113	10286	100	N	N	1	*	*,113,*
contig_111	10128	156	N	N	1	*	*,111,*
contig_39	10040	424	N	N	1	*	*,39,*
contig_2	9877	177	N	N	1	*	*,2,*
contig_74	9846	203	N	N	1	*	*,74,*
contig_32	9412	490	N	N	1	*	*,32,*
contig_56	9410	207	N	N	1	*	*,56,*
contig_59	8956	138	N	N	1	*	*,59,*
contig_4	8847	256	N	N	1	*	*,4,*
contig_126	8566	211	N	N	1	*	*,126,*
contig_12	8494	82	N	N	1	*	*,12,*
contig_115	8415	132	N	N	1	*	*,115,*
contig_146	8405	252	N	N	1	*	*,146,*
contig_38	8405	254	N	N	1	*	*,38,*
contig_116	8377	204	N	N	1	*	*,116,*
contig_85	8370	119	N	N	1	*	*,85,*
contig_1	8348	115	N	N	1	*	*,1,*
contig_48	8138	212	N	N	1	*	*,48,*
contig_91	8079	78	N	N	1	*	*,91,*
contig_70	8041	414	N	N	1	*	*,70,*
contig_100	8028	783	N	Y	3	*	*,100,*
