#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_9	195248	385	N	N	1	*	*,9,*
contig_15	168973	384	N	N	1	*	*,15,*
contig_3	162693	352	N	N	1	*	*,3,*
contig_23	110413	388	N	N	1	*	*,23,*
contig_70	100614	352	N	N	1	*	*,70,*
contig_27	95677	425	N	N	1	*	*,27,*
contig_7	93714	382	N	N	1	*	*,7,*
contig_2	92575	339	N	N	1	*	*,2,*
contig_11	78124	380	N	N	1	*	*,11,*
contig_14	74661	353	N	N	1	*	*,14,*
contig_24	73073	304	N	N	1	*	*,24,*
contig_45	72954	384	N	N	1	*	*,45,*
contig_31	72793	378	N	N	1	*	*,31,*
contig_50	71970	314	N	N	1	*	*,50,*
contig_71	70828	328	N	N	1	*	*,71,*
contig_4	63436	441	N	N	1	*	*,4,*
contig_49	61089	363	N	N	1	*	*,49,*
contig_74	59197	304	N	N	1	*	*,74,*
contig_40	58368	321	N	N	1	*	*,40,*
contig_29	57630	342	N	N	1	*	*,29,*
contig_28	55715	359	N	N	1	*	*,28,*
contig_22	53604	370	N	N	1	*	*,22,*
contig_35	52800	385	N	N	1	*	*,35,*
contig_73	51935	369	N	N	1	*	*,73,*
contig_42	47841	300	N	N	1	*	*,42,*
contig_17	37151	297	N	N	1	*	*,17,*
contig_38	32718	428	N	N	1	*	*,38,*
contig_30	31091	435	N	N	1	*	*,30,*
contig_25	31070	313	N	N	1	*	*,25,*
contig_44	27181	361	N	N	1	*	*,44,*
contig_12	25246	449	N	N	1	*	*,12,*
contig_43	23378	168	N	N	1	*	*,43,*
contig_13	23318	278	N	N	1	*	*,13,*
contig_26	22965	404	N	N	1	*	*,26,*
contig_75	22463	263	N	N	1	*	*,75,*
contig_65	21065	265	N	N	1	*	*,65,*
contig_46	20363	365	N	N	1	*	*,46,*
contig_10	20316	347	N	N	1	*	*,10,*
contig_72	20226	307	N	N	1	*	*,72,*
contig_36	19769	522	Y	N	2	*	36
contig_61	18318	257	N	N	1	*	*,61,*
contig_32	18115	226	N	N	1	*	*,32,*
contig_18	16232	261	N	N	1	*	*,18,*
contig_39	15630	474	N	N	1	*	*,39,*
contig_19	15546	296	N	N	1	*	*,19,*
contig_55	14578	350	N	N	1	*	*,55,*
contig_37	14559	326	N	N	1	*	*,37,*
contig_33	13723	193	N	N	1	*	*,33,*
contig_16	12799	380	N	N	1	*	*,16,*
contig_20	11139	293	N	N	1	*	*,20,*
contig_41	10862	273	N	N	1	*	*,41,*
contig_6	10771	351	N	N	1	*	*,6,*
contig_57	10618	284	N	N	1	*	*,57,*
contig_8	10253	276	N	N	1	*	*,8,*
contig_5	10231	230	N	N	1	*	*,5,*
contig_60	10055	313	N	N	1	*	*,60,*
contig_69	9949	272	N	N	1	*	*,69,*
contig_56	9485	242	N	N	1	*	*,56,*
contig_64	8454	194	N	N	1	*	*,64,*
contig_1	8451	208	N	N	1	*	*,1,*
contig_59	8339	167	N	N	1	*	*,59,*
contig_58	8235	203	N	N	1	*	*,58,*
contig_67	7760	296	N	N	1	*	*,67,*
contig_66	6846	94	N	N	1	*	*,66,*
contig_68	6763	341	N	N	1	*	*,68,*
contig_21	6545	292	N	N	1	*	*,21,*
contig_34	6333	275	N	N	1	*	*,34,*
contig_47	6178	187	N	N	1	*	*,47,*
contig_62	5997	160	N	N	1	*	*,62,*
contig_54	5994	127	N	N	1	*	*,54,*
contig_63	4943	124	N	N	1	*	*,63,*
contig_48	4684	227	N	N	1	*	*,48,*
contig_53	4593	173	N	N	1	*	*,53,*
contig_51	3645	106	N	N	1	*	*,51,*
contig_52	3109	186	N	N	1	*	*,52,*
